filename,partition,task,semantic_label,numeric_label
00795.png,val,target,hofburg_imperial_palace,1
04715.png,val,target,hofburg_imperial_palace,1
02044.png,challenge,target,,
01535.png,test,target,hofburg_imperial_palace,1
00444.png,train,target,pantheon,0
05175.png,test,target,hofburg_imperial_palace,1
02575.png,train,target,hofburg_imperial_palace,1
02625.png,train,target,hofburg_imperial_palace,1
00815.png,challenge,target,,
05475.png,val,target,hofburg_imperial_palace,1
08405.png,train,target,hofburg_imperial_palace,1
05125.png,train,target,hofburg_imperial_palace,1
06264.png,train,target,pantheon,0
02685.png,test,target,hofburg_imperial_palace,1
04875.png,challenge,target,,
09594.png,train,target,pantheon,0
00724.png,train,target,pantheon,0
11266.png,challenge,target,,
00325.png,challenge,target,,
11774.png,train,target,pantheon,0
07545.png,challenge,target,,
05315.png,train,target,hofburg_imperial_palace,1
04134.png,challenge,target,,
02025.png,challenge,target,,
05904.png,train,target,pantheon,0
08765.png,challenge,target,,
02394.png,test,target,pantheon,0
06905.png,val,target,hofburg_imperial_palace,1
09894.png,test,target,pantheon,0
05184.png,val,target,pantheon,0
04955.png,train,target,hofburg_imperial_palace,1
11275.png,val,target,pantheon,0
08964.png,train,target,pantheon,0
08434.png,train,target,pantheon,0
07485.png,train,target,hofburg_imperial_palace,1
12301.png,train,target,pantheon,0
02965.png,val,target,hofburg_imperial_palace,1
07765.png,train,target,hofburg_imperial_palace,1
09905.png,train,target,hofburg_imperial_palace,1
01834.png,train,target,pantheon,0
00975.png,train,target,hofburg_imperial_palace,1
00675.png,train,target,hofburg_imperial_palace,1
05434.png,train,target,pantheon,0
03115.png,challenge,target,,
08355.png,challenge,target,,
00985.png,challenge,target,,
03444.png,train,target,pantheon,0
02445.png,train,target,hofburg_imperial_palace,1
10050.png,challenge,target,,
03535.png,challenge,target,,
00785.png,train,target,hofburg_imperial_palace,1
09045.png,train,target,hofburg_imperial_palace,1
09444.png,train,target,pantheon,0
09855.png,val,target,hofburg_imperial_palace,1
07094.png,challenge,target,,
00084.png,challenge,target,,
02284.png,challenge,target,,
04165.png,challenge,target,,
12117.png,train,target,pantheon,0
09995.png,train,target,hofburg_imperial_palace,1
03614.png,train,target,pantheon,0
07695.png,challenge,target,,
03694.png,train,target,pantheon,0
11474.png,train,target,pantheon,0
00594.png,train,target,pantheon,0
11540.png,challenge,target,,
01685.png,train,target,hofburg_imperial_palace,1
05635.png,challenge,target,,
05095.png,val,target,hofburg_imperial_palace,1
12003.png,train,target,pantheon,0
01004.png,challenge,target,,
01764.png,train,target,pantheon,0
05845.png,val,target,hofburg_imperial_palace,1
02945.png,train,target,hofburg_imperial_palace,1
08165.png,train,target,hofburg_imperial_palace,1
05625.png,challenge,target,,
05605.png,val,target,hofburg_imperial_palace,1
08855.png,train,target,hofburg_imperial_palace,1
06584.png,train,target,pantheon,0
09085.png,test,target,hofburg_imperial_palace,1
09404.png,val,target,pantheon,0
02745.png,test,target,hofburg_imperial_palace,1
06265.png,train,target,hofburg_imperial_palace,1
11491.png,challenge,target,,
07755.png,val,target,hofburg_imperial_palace,1
03084.png,challenge,target,,
03755.png,test,target,hofburg_imperial_palace,1
08734.png,challenge,target,,
01465.png,challenge,target,,
08064.png,challenge,target,,
10266.png,train,target,pantheon,0
08924.png,train,target,pantheon,0
08325.png,train,target,hofburg_imperial_palace,1
03474.png,val,target,pantheon,0
10634.png,test,target,pantheon,0
11144.png,val,target,pantheon,0
10222.png,train,target,pantheon,0
03725.png,challenge,target,,
09345.png,val,target,hofburg_imperial_palace,1
07904.png,train,target,pantheon,0
02245.png,challenge,target,,
07604.png,val,target,pantheon,0
05985.png,train,target,hofburg_imperial_palace,1
11517.png,train,target,pantheon,0
02645.png,train,target,hofburg_imperial_palace,1
10274.png,train,target,pantheon,0
08565.png,train,target,hofburg_imperial_palace,1
04674.png,challenge,target,,
04525.png,train,target,hofburg_imperial_palace,1
00094.png,val,target,pantheon,0
02714.png,challenge,target,,
02674.png,val,target,pantheon,0
04195.png,train,target,hofburg_imperial_palace,1
07055.png,train,target,hofburg_imperial_palace,1
01344.png,val,target,pantheon,0
09305.png,challenge,target,,
07195.png,val,target,hofburg_imperial_palace,1
05854.png,val,target,pantheon,0
06945.png,train,target,hofburg_imperial_palace,1
11511.png,train,target,pantheon,0
06984.png,challenge,target,,
01634.png,train,target,pantheon,0
07655.png,test,target,hofburg_imperial_palace,1
07425.png,val,target,hofburg_imperial_palace,1
04795.png,test,target,hofburg_imperial_palace,1
01794.png,test,target,pantheon,0
00064.png,train,target,pantheon,0
11903.png,train,target,pantheon,0
01474.png,challenge,target,,
11056.png,val,target,pantheon,0
09265.png,challenge,target,,
04645.png,test,target,hofburg_imperial_palace,1
03234.png,train,target,pantheon,0
02615.png,train,target,hofburg_imperial_palace,1
10915.png,train,target,pantheon,0
06904.png,train,target,pantheon,0
05425.png,challenge,target,,
03315.png,train,target,hofburg_imperial_palace,1
04725.png,challenge,target,,
01795.png,train,target,hofburg_imperial_palace,1
06485.png,train,target,hofburg_imperial_palace,1
01835.png,train,target,hofburg_imperial_palace,1
02244.png,challenge,target,,
03134.png,train,target,pantheon,0
04075.png,challenge,target,,
08135.png,challenge,target,,
11816.png,train,target,pantheon,0
12334.png,test,target,pantheon,0
02154.png,train,target,pantheon,0
11979.png,train,target,pantheon,0
12134.png,train,target,pantheon,0
08865.png,val,target,hofburg_imperial_palace,1
12311.png,challenge,target,,
04744.png,val,target,pantheon,0
08575.png,val,target,hofburg_imperial_palace,1
03035.png,train,target,hofburg_imperial_palace,1
10752.png,challenge,target,,
09114.png,test,target,pantheon,0
00554.png,train,target,pantheon,0
10538.png,val,target,pantheon,0
01164.png,challenge,target,,
07185.png,val,target,hofburg_imperial_palace,1
07835.png,challenge,target,,
09054.png,val,target,pantheon,0
01404.png,val,target,pantheon,0
04815.png,train,target,hofburg_imperial_palace,1
08725.png,train,target,hofburg_imperial_palace,1
09854.png,val,target,pantheon,0
07465.png,test,target,hofburg_imperial_palace,1
05585.png,train,target,hofburg_imperial_palace,1
10413.png,val,target,pantheon,0
09164.png,val,target,pantheon,0
02075.png,challenge,target,,
00134.png,challenge,target,,
03325.png,train,target,hofburg_imperial_palace,1
09445.png,val,target,hofburg_imperial_palace,1
11912.png,train,target,pantheon,0
07775.png,test,target,hofburg_imperial_palace,1
02454.png,val,target,pantheon,0
07535.png,val,target,hofburg_imperial_palace,1
05204.png,train,target,pantheon,0
01054.png,train,target,pantheon,0
00275.png,val,target,hofburg_imperial_palace,1
01084.png,challenge,target,,
00224.png,val,target,pantheon,0
06864.png,train,target,pantheon,0
01705.png,train,target,hofburg_imperial_palace,1
10519.png,val,target,pantheon,0
02255.png,train,target,hofburg_imperial_palace,1
06235.png,challenge,target,,
00394.png,test,target,pantheon,0
01754.png,train,target,pantheon,0
01154.png,train,target,pantheon,0
11316.png,val,target,pantheon,0
12141.png,challenge,target,,
09825.png,test,target,hofburg_imperial_palace,1
01545.png,test,target,hofburg_imperial_palace,1
03734.png,challenge,target,,
01845.png,val,target,hofburg_imperial_palace,1
01214.png,challenge,target,,
00334.png,train,target,pantheon,0
00265.png,test,target,hofburg_imperial_palace,1
04095.png,challenge,target,,
09134.png,train,target,pantheon,0
06775.png,train,target,hofburg_imperial_palace,1
00305.png,test,target,hofburg_imperial_palace,1
06134.png,val,target,pantheon,0
01714.png,train,target,pantheon,0
06055.png,challenge,target,,
11020.png,challenge,target,,
07354.png,train,target,pantheon,0
08655.png,train,target,hofburg_imperial_palace,1
03464.png,train,target,pantheon,0
02264.png,challenge,target,,
09505.png,train,target,hofburg_imperial_palace,1
05835.png,val,target,hofburg_imperial_palace,1
05954.png,train,target,pantheon,0
10084.png,train,target,pantheon,0
12211.png,val,target,pantheon,0
08304.png,train,target,pantheon,0
06865.png,train,target,hofburg_imperial_palace,1
06354.png,train,target,pantheon,0
07725.png,challenge,target,,
02585.png,challenge,target,,
06595.png,val,target,hofburg_imperial_palace,1
07225.png,val,target,hofburg_imperial_palace,1
09145.png,challenge,target,,
04615.png,train,target,hofburg_imperial_palace,1
08035.png,train,target,hofburg_imperial_palace,1
01525.png,train,target,hofburg_imperial_palace,1
07955.png,val,target,hofburg_imperial_palace,1
05215.png,train,target,hofburg_imperial_palace,1
04915.png,val,target,hofburg_imperial_palace,1
00105.png,challenge,target,,
09035.png,train,target,hofburg_imperial_palace,1
03175.png,val,target,hofburg_imperial_palace,1
06744.png,challenge,target,,
03764.png,val,target,pantheon,0
04205.png,train,target,hofburg_imperial_palace,1
08895.png,test,target,hofburg_imperial_palace,1
06415.png,challenge,target,,
03834.png,test,target,pantheon,0
08394.png,val,target,pantheon,0
11988.png,challenge,target,,
02895.png,train,target,hofburg_imperial_palace,1
04564.png,train,target,pantheon,0
05314.png,challenge,target,,
05285.png,val,target,hofburg_imperial_palace,1
09385.png,train,target,hofburg_imperial_palace,1
00135.png,val,target,hofburg_imperial_palace,1
03475.png,val,target,hofburg_imperial_palace,1
03165.png,train,target,hofburg_imperial_palace,1
10239.png,challenge,target,,
00514.png,test,target,pantheon,0
02385.png,val,target,hofburg_imperial_palace,1
02404.png,val,target,pantheon,0
01065.png,train,target,hofburg_imperial_palace,1
06734.png,challenge,target,,
11649.png,challenge,target,,
03155.png,train,target,hofburg_imperial_palace,1
05614.png,challenge,target,,
07634.png,challenge,target,,
11633.png,val,target,pantheon,0
10376.png,challenge,target,,
12241.png,val,target,pantheon,0
06644.png,train,target,pantheon,0
04155.png,val,target,hofburg_imperial_palace,1
09364.png,challenge,target,,
01724.png,val,target,pantheon,0
02125.png,train,target,hofburg_imperial_palace,1
05895.png,challenge,target,,
04735.png,train,target,hofburg_imperial_palace,1
06095.png,challenge,target,,
00014.png,test,target,pantheon,0
11487.png,test,target,pantheon,0
09335.png,train,target,hofburg_imperial_palace,1
00425.png,test,target,hofburg_imperial_palace,1
11338.png,test,target,pantheon,0
10623.png,test,target,pantheon,0
11565.png,challenge,target,,
08185.png,train,target,hofburg_imperial_palace,1
01745.png,val,target,hofburg_imperial_palace,1
05595.png,challenge,target,,
01185.png,challenge,target,,
01704.png,train,target,pantheon,0
04144.png,test,target,pantheon,0
03135.png,train,target,hofburg_imperial_palace,1
01825.png,val,target,hofburg_imperial_palace,1
09495.png,train,target,hofburg_imperial_palace,1
07355.png,test,target,hofburg_imperial_palace,1
03654.png,train,target,pantheon,0
02515.png,val,target,hofburg_imperial_palace,1
05195.png,train,target,hofburg_imperial_palace,1
02595.png,test,target,hofburg_imperial_palace,1
04295.png,test,target,hofburg_imperial_palace,1
10821.png,val,target,pantheon,0
09295.png,challenge,target,,
06225.png,train,target,hofburg_imperial_palace,1
03545.png,val,target,hofburg_imperial_palace,1
02175.png,train,target,hofburg_imperial_palace,1
04544.png,challenge,target,,
02865.png,train,target,hofburg_imperial_palace,1
07724.png,val,target,pantheon,0
00835.png,val,target,hofburg_imperial_palace,1
04385.png,train,target,hofburg_imperial_palace,1
04775.png,train,target,hofburg_imperial_palace,1
03455.png,train,target,hofburg_imperial_palace,1
03955.png,test,target,hofburg_imperial_palace,1
08625.png,train,target,hofburg_imperial_palace,1
08324.png,challenge,target,,
03085.png,test,target,hofburg_imperial_palace,1
04485.png,train,target,hofburg_imperial_palace,1
03555.png,train,target,hofburg_imperial_palace,1
08345.png,train,target,hofburg_imperial_palace,1
04015.png,train,target,hofburg_imperial_palace,1
11866.png,train,target,pantheon,0
02274.png,train,target,pantheon,0
04845.png,test,target,hofburg_imperial_palace,1
00535.png,test,target,hofburg_imperial_palace,1
04455.png,train,target,hofburg_imperial_palace,1
04535.png,train,target,hofburg_imperial_palace,1
10690.png,challenge,target,,
07994.png,train,target,pantheon,0
11066.png,val,target,pantheon,0
06715.png,train,target,hofburg_imperial_palace,1
05324.png,train,target,pantheon,0
04395.png,challenge,target,,
03164.png,train,target,pantheon,0
07474.png,train,target,pantheon,0
12043.png,challenge,target,,
11441.png,train,target,pantheon,0
07364.png,train,target,pantheon,0
05884.png,val,target,pantheon,0
08615.png,train,target,hofburg_imperial_palace,1
02555.png,challenge,target,,
07445.png,train,target,hofburg_imperial_palace,1
02205.png,train,target,hofburg_imperial_palace,1
10009.png,val,target,pantheon,0
12460.png,challenge,target,,
07384.png,train,target,pantheon,0
01645.png,train,target,hofburg_imperial_palace,1
08255.png,train,target,hofburg_imperial_palace,1
11379.png,train,target,pantheon,0
05604.png,challenge,target,,
08515.png,test,target,hofburg_imperial_palace,1
00694.png,challenge,target,,
00735.png,train,target,hofburg_imperial_palace,1
05045.png,val,target,hofburg_imperial_palace,1
08094.png,train,target,pantheon,0
03934.png,val,target,pantheon,0
10144.png,val,target,pantheon,0
03854.png,test,target,pantheon,0
00994.png,val,target,pantheon,0
11507.png,train,target,pantheon,0
12018.png,train,target,pantheon,0
06925.png,test,target,hofburg_imperial_palace,1
02884.png,test,target,pantheon,0
11971.png,train,target,pantheon,0
00315.png,train,target,hofburg_imperial_palace,1
06284.png,val,target,pantheon,0
05414.png,train,target,pantheon,0
01565.png,val,target,hofburg_imperial_palace,1
03815.png,train,target,hofburg_imperial_palace,1
08095.png,val,target,hofburg_imperial_palace,1
06845.png,train,target,hofburg_imperial_palace,1
09485.png,train,target,hofburg_imperial_palace,1
03625.png,val,target,hofburg_imperial_palace,1
01675.png,train,target,hofburg_imperial_palace,1
03985.png,train,target,hofburg_imperial_palace,1
07965.png,train,target,hofburg_imperial_palace,1
12470.png,val,target,pantheon,0
06334.png,train,target,pantheon,0
01744.png,train,target,pantheon,0
00775.png,train,target,hofburg_imperial_palace,1
04585.png,val,target,hofburg_imperial_palace,1
11873.png,train,target,pantheon,0
09574.png,val,target,pantheon,0
06685.png,challenge,target,,
03224.png,train,target,pantheon,0
06104.png,val,target,pantheon,0
01935.png,train,target,hofburg_imperial_palace,1
00294.png,test,target,pantheon,0
03984.png,train,target,pantheon,0
00555.png,challenge,target,,
02844.png,train,target,pantheon,0
07975.png,train,target,hofburg_imperial_palace,1
10534.png,val,target,pantheon,0
03925.png,train,target,hofburg_imperial_palace,1
10320.png,train,target,pantheon,0
08164.png,val,target,pantheon,0
06854.png,val,target,pantheon,0
11399.png,train,target,pantheon,0
05294.png,train,target,pantheon,0
05335.png,challenge,target,,
10629.png,train,target,pantheon,0
08815.png,train,target,hofburg_imperial_palace,1
09135.png,challenge,target,,
06534.png,train,target,pantheon,0
04754.png,train,target,pantheon,0
05885.png,test,target,hofburg_imperial_palace,1
04285.png,train,target,hofburg_imperial_palace,1
02004.png,val,target,pantheon,0
04225.png,train,target,hofburg_imperial_palace,1
11272.png,val,target,pantheon,0
04204.png,val,target,pantheon,0
11680.png,train,target,pantheon,0
04074.png,val,target,pantheon,0
09435.png,train,target,hofburg_imperial_palace,1
11461.png,train,target,pantheon,0
09115.png,train,target,hofburg_imperial_palace,1
05864.png,train,target,pantheon,0
08675.png,val,target,hofburg_imperial_palace,1
09684.png,train,target,pantheon,0
09184.png,val,target,pantheon,0
01205.png,challenge,target,,
03705.png,train,target,hofburg_imperial_palace,1
02084.png,train,target,pantheon,0
05865.png,challenge,target,,
08184.png,train,target,pantheon,0
03404.png,train,target,pantheon,0
12317.png,val,target,pantheon,0
10964.png,train,target,pantheon,0
10558.png,challenge,target,,
11062.png,train,target,pantheon,0
03635.png,train,target,hofburg_imperial_palace,1
11811.png,train,target,pantheon,0
09255.png,val,target,hofburg_imperial_palace,1
02784.png,val,target,pantheon,0
11386.png,challenge,target,,
07104.png,train,target,pantheon,0
06114.png,val,target,pantheon,0
08315.png,test,target,hofburg_imperial_palace,1
07054.png,train,target,pantheon,0
10459.png,val,target,pantheon,0
04835.png,train,target,hofburg_imperial_palace,1
09315.png,challenge,target,,
01235.png,train,target,hofburg_imperial_palace,1
07415.png,val,target,hofburg_imperial_palace,1
08664.png,val,target,pantheon,0
04314.png,challenge,target,,
06555.png,val,target,hofburg_imperial_palace,1
10156.png,challenge,target,,
03274.png,challenge,target,,
09575.png,challenge,target,,
02934.png,train,target,pantheon,0
08794.png,test,target,pantheon,0
06695.png,challenge,target,,
09904.png,test,target,pantheon,0
05264.png,train,target,pantheon,0
05805.png,challenge,target,,
02455.png,train,target,hofburg_imperial_palace,1
01275.png,train,target,hofburg_imperial_palace,1
10243.png,test,target,pantheon,0
03045.png,train,target,hofburg_imperial_palace,1
09865.png,test,target,hofburg_imperial_palace,1
10090.png,val,target,pantheon,0
00645.png,challenge,target,,
08074.png,train,target,pantheon,0
03944.png,train,target,pantheon,0
09474.png,val,target,pantheon,0
08594.png,challenge,target,,
09874.png,challenge,target,,
06454.png,test,target,pantheon,0
09155.png,train,target,hofburg_imperial_palace,1
11858.png,val,target,pantheon,0
01635.png,val,target,hofburg_imperial_palace,1
11349.png,train,target,pantheon,0
04734.png,train,target,pantheon,0
06194.png,challenge,target,,
11659.png,train,target,pantheon,0
08205.png,train,target,hofburg_imperial_palace,1
09764.png,train,target,pantheon,0
02795.png,train,target,hofburg_imperial_palace,1
09175.png,train,target,hofburg_imperial_palace,1
12205.png,train,target,pantheon,0
08334.png,train,target,pantheon,0
01255.png,challenge,target,,
03615.png,train,target,hofburg_imperial_palace,1
05725.png,train,target,hofburg_imperial_palace,1
08124.png,challenge,target,,
05185.png,train,target,hofburg_imperial_palace,1
06295.png,test,target,hofburg_imperial_palace,1
08294.png,train,target,pantheon,0
06634.png,train,target,pantheon,0
05025.png,test,target,hofburg_imperial_palace,1
03065.png,test,target,hofburg_imperial_palace,1
06974.png,val,target,pantheon,0
04254.png,train,target,pantheon,0
04045.png,train,target,hofburg_imperial_palace,1
11863.png,train,target,pantheon,0
07295.png,val,target,hofburg_imperial_palace,1
11612.png,train,target,pantheon,0
06375.png,train,target,hofburg_imperial_palace,1
06995.png,test,target,hofburg_imperial_palace,1
02415.png,challenge,target,,
03595.png,val,target,hofburg_imperial_palace,1
09465.png,challenge,target,,
04975.png,train,target,hofburg_imperial_palace,1
00995.png,train,target,hofburg_imperial_palace,1
06144.png,train,target,pantheon,0
11739.png,val,target,pantheon,0
00475.png,train,target,hofburg_imperial_palace,1
05145.png,test,target,hofburg_imperial_palace,1
06815.png,train,target,hofburg_imperial_palace,1
