filename,semantic_label,partition,numeric_label,task
04185.png,,challenge,,target
06024.png,pantheon,val,0,target
11217_aug_0.png,pantheon,train,0,target
10991_aug_0.png,pantheon,train,0,target
03255_aug_0.png,hofburg_imperial_palace,train,1,target
06424_aug_0.png,pantheon,train,0,target
00615.png,hofburg_imperial_palace,val,1,target
01365.png,,challenge,,target
07674_aug_0.png,pantheon,train,0,target
08115.png,hofburg_imperial_palace,val,1,target
08145.png,,challenge,,target
10578.png,pantheon,val,0,target
00595.png,hofburg_imperial_palace,test,1,target
05275_aug_0.png,hofburg_imperial_palace,train,1,target
10520_aug_0.png,pantheon,train,0,target
08505.png,hofburg_imperial_palace,test,1,target
00055.png,hofburg_imperial_palace,test,1,target
10839.png,pantheon,test,0,target
04925.png,,challenge,,target
00805.png,,challenge,,target
02225_aug_0.png,hofburg_imperial_palace,train,1,target
02115.png,hofburg_imperial_palace,val,1,target
02765.png,hofburg_imperial_palace,val,1,target
02875.png,hofburg_imperial_palace,val,1,target
07735_aug_0.png,hofburg_imperial_palace,train,1,target
02995_aug_0.png,hofburg_imperial_palace,train,1,target
07805.png,,challenge,,target
12284.png,,challenge,,target
08485.png,hofburg_imperial_palace,val,1,target
08275.png,,challenge,,target
07855_aug_0.png,hofburg_imperial_palace,train,1,target
04865.png,,challenge,,target
11523.png,,challenge,,target
10997.png,,challenge,,target
05995.png,hofburg_imperial_palace,test,1,target
09705.png,hofburg_imperial_palace,val,1,target
04675_aug_0.png,hofburg_imperial_palace,train,1,target
07125_aug_0.png,hofburg_imperial_palace,train,1,target
07865.png,hofburg_imperial_palace,val,1,target
03945.png,hofburg_imperial_palace,val,1,target
11497.png,pantheon,test,0,target
08494.png,pantheon,val,0,target
10229.png,pantheon,val,0,target
07754_aug_0.png,pantheon,train,0,target
06214.png,pantheon,test,0,target
05714_aug_0.png,pantheon,train,0,target
05645_aug_0.png,hofburg_imperial_palace,train,1,target
00745.png,,challenge,,target
01495.png,,challenge,,target
07245.png,hofburg_imperial_palace,val,1,target
04965_aug_0.png,hofburg_imperial_palace,train,1,target
07985.png,,challenge,,target
00404_aug_0.png,pantheon,train,0,target
04885_aug_0.png,hofburg_imperial_palace,train,1,target
06425.png,hofburg_imperial_palace,val,1,target
04584_aug_0.png,pantheon,train,0,target
11840.png,,challenge,,target
08825.png,,challenge,,target
05364_aug_0.png,pantheon,train,0,target
07854.png,,challenge,,target
11234.png,pantheon,test,0,target
05594_aug_0.png,pantheon,train,0,target
00695.png,hofburg_imperial_palace,val,1,target
08654.png,,challenge,,target
07595.png,hofburg_imperial_palace,val,1,target
09514.png,,challenge,,target
06675_aug_0.png,hofburg_imperial_palace,train,1,target
09354.png,pantheon,val,0,target
05935.png,hofburg_imperial_palace,val,1,target
07914.png,pantheon,val,0,target
03154.png,pantheon,val,0,target
00035.png,hofburg_imperial_palace,test,1,target
08854_aug_0.png,pantheon,train,0,target
04355.png,,challenge,,target
11428.png,,challenge,,target
07165.png,hofburg_imperial_palace,val,1,target
01145.png,,challenge,,target
05155_aug_0.png,hofburg_imperial_palace,train,1,target
10288.png,,challenge,,target
09395_aug_0.png,hofburg_imperial_palace,train,1,target
07505.png,hofburg_imperial_palace,val,1,target
09275_aug_0.png,hofburg_imperial_palace,train,1,target
09195.png,hofburg_imperial_palace,val,1,target
01875.png,hofburg_imperial_palace,val,1,target
10764_aug_0.png,pantheon,train,0,target
01274.png,pantheon,test,0,target
06594_aug_0.png,pantheon,train,0,target
00845.png,,challenge,,target
04855_aug_0.png,hofburg_imperial_palace,train,1,target
04515.png,,challenge,,target
12091_aug_0.png,pantheon,train,0,target
06044.png,,challenge,,target
06115_aug_0.png,hofburg_imperial_palace,train,1,target
02104_aug_0.png,pantheon,train,0,target
07214_aug_0.png,pantheon,train,0,target
02165.png,hofburg_imperial_palace,val,1,target
06294.png,pantheon,val,0,target
03875.png,hofburg_imperial_palace,val,1,target
01285_aug_0.png,hofburg_imperial_palace,train,1,target
00685.png,hofburg_imperial_palace,val,1,target
03655_aug_0.png,hofburg_imperial_palace,train,1,target
06255.png,hofburg_imperial_palace,test,1,target
06834.png,pantheon,val,0,target
07774_aug_0.png,pantheon,train,0,target
05154_aug_0.png,pantheon,train,0,target
01655.png,,challenge,,target
10909.png,,challenge,,target
08044_aug_0.png,pantheon,train,0,target
09544_aug_0.png,pantheon,train,0,target
09525_aug_0.png,hofburg_imperial_palace,train,1,target
02185_aug_0.png,hofburg_imperial_palace,train,1,target
08555_aug_0.png,hofburg_imperial_palace,train,1,target
03504.png,pantheon,val,0,target
04335.png,hofburg_imperial_palace,test,1,target
06934.png,pantheon,val,0,target
08445.png,hofburg_imperial_palace,test,1,target
02195_aug_0.png,hofburg_imperial_palace,train,1,target
01035.png,hofburg_imperial_palace,val,1,target
08314_aug_0.png,pantheon,train,0,target
00354.png,pantheon,test,0,target
04755_aug_0.png,hofburg_imperial_palace,train,1,target
07925.png,,challenge,,target
01265.png,,challenge,,target
05844_aug_0.png,pantheon,train,0,target
03684_aug_0.png,pantheon,train,0,target
11206.png,,challenge,,target
06184_aug_0.png,pantheon,train,0,target
05685_aug_0.png,hofburg_imperial_palace,train,1,target
07504.png,,challenge,,target
06545_aug_0.png,hofburg_imperial_palace,train,1,target
09125.png,,challenge,,target
03375_aug_0.png,hofburg_imperial_palace,train,1,target
01664.png,pantheon,test,0,target
03095_aug_0.png,hofburg_imperial_palace,train,1,target
11003.png,,challenge,,target
09254.png,,challenge,,target
04595_aug_0.png,hofburg_imperial_palace,train,1,target
08335_aug_0.png,hofburg_imperial_palace,train,1,target
01665_aug_0.png,hofburg_imperial_palace,train,1,target
04974.png,pantheon,test,0,target
01955_aug_0.png,hofburg_imperial_palace,train,1,target
00884.png,,challenge,,target
00124.png,,challenge,,target
10772.png,pantheon,val,0,target
05565.png,hofburg_imperial_palace,val,1,target
01005.png,hofburg_imperial_palace,test,1,target
08424_aug_0.png,pantheon,train,0,target
07304.png,,challenge,,target
08605.png,,challenge,,target
02535_aug_0.png,hofburg_imperial_palace,train,1,target
02635.png,,challenge,,target
12063_aug_0.png,pantheon,train,0,target
08075.png,,challenge,,target
01575.png,hofburg_imperial_palace,val,1,target
02294_aug_0.png,pantheon,train,0,target
09394.png,pantheon,val,0,target
06005.png,,challenge,,target
10590.png,pantheon,test,0,target
12465_aug_0.png,pantheon,train,0,target
11128.png,pantheon,test,0,target
11291.png,,challenge,,target
05955_aug_0.png,hofburg_imperial_palace,train,1,target
07494.png,,challenge,,target
09765.png,hofburg_imperial_palace,val,1,target
05545.png,,challenge,,target
01905_aug_0.png,hofburg_imperial_palace,train,1,target
09025.png,hofburg_imperial_palace,test,1,target
10067_aug_0.png,pantheon,train,0,target
03624.png,pantheon,val,0,target
09294.png,,challenge,,target
07254_aug_0.png,pantheon,train,0,target
02204.png,,challenge,,target
01475.png,hofburg_imperial_palace,test,1,target
04705.png,hofburg_imperial_palace,val,1,target
04415.png,,challenge,,target
06964_aug_0.png,pantheon,train,0,target
09304_aug_0.png,pantheon,train,0,target
00385.png,,challenge,,target
03254.png,,challenge,,target
03665_aug_0.png,hofburg_imperial_palace,train,1,target
10028_aug_0.png,pantheon,train,0,target
02224.png,pantheon,val,0,target
10503_aug_0.png,pantheon,train,0,target
07935.png,hofburg_imperial_palace,test,1,target
04694_aug_0.png,pantheon,train,0,target
01135_aug_0.png,hofburg_imperial_palace,train,1,target
12157_aug_0.png,pantheon,train,0,target
01595.png,,challenge,,target
11321.png,,challenge,,target
04764_aug_0.png,pantheon,train,0,target
00025_aug_0.png,hofburg_imperial_palace,train,1,target
05085.png,hofburg_imperial_palace,val,1,target
02514_aug_0.png,pantheon,train,0,target
01195.png,hofburg_imperial_palace,val,1,target
02734_aug_0.png,pantheon,train,0,target
10290.png,,challenge,,target
12024.png,,challenge,,target
00525_aug_0.png,hofburg_imperial_palace,train,1,target
10766_aug_0.png,pantheon,train,0,target
02214.png,,challenge,,target
00794.png,,challenge,,target
12266.png,,challenge,,target
06674_aug_0.png,pantheon,train,0,target
09344_aug_0.png,pantheon,train,0,target
08484_aug_0.png,pantheon,train,0,target
03195.png,,challenge,,target
03355.png,hofburg_imperial_palace,val,1,target
04065.png,,challenge,,target
02994.png,,challenge,,target
06875_aug_0.png,hofburg_imperial_palace,train,1,target
02135.png,hofburg_imperial_palace,val,1,target
00524_aug_0.png,pantheon,train,0,target
09794_aug_0.png,pantheon,train,0,target
06795_aug_0.png,hofburg_imperial_palace,train,1,target
02464.png,pantheon,val,0,target
08245_aug_0.png,hofburg_imperial_palace,train,1,target
00165.png,,challenge,,target
11085.png,,challenge,,target
00795.png,hofburg_imperial_palace,val,1,target
04715.png,hofburg_imperial_palace,val,1,target
02044.png,,challenge,,target
01535.png,hofburg_imperial_palace,test,1,target
00444_aug_0.png,pantheon,train,0,target
05175.png,hofburg_imperial_palace,test,1,target
02575_aug_0.png,hofburg_imperial_palace,train,1,target
02625_aug_0.png,hofburg_imperial_palace,train,1,target
00815.png,,challenge,,target
05475.png,hofburg_imperial_palace,val,1,target
08405_aug_0.png,hofburg_imperial_palace,train,1,target
05125_aug_0.png,hofburg_imperial_palace,train,1,target
06264_aug_0.png,pantheon,train,0,target
02685.png,hofburg_imperial_palace,test,1,target
04875.png,,challenge,,target
09594_aug_0.png,pantheon,train,0,target
00724_aug_0.png,pantheon,train,0,target
11266.png,,challenge,,target
00325.png,,challenge,,target
11774_aug_0.png,pantheon,train,0,target
07545.png,,challenge,,target
05315_aug_0.png,hofburg_imperial_palace,train,1,target
04134.png,,challenge,,target
02025.png,,challenge,,target
05904_aug_0.png,pantheon,train,0,target
08765.png,,challenge,,target
02394.png,pantheon,test,0,target
06905.png,hofburg_imperial_palace,val,1,target
09894.png,pantheon,test,0,target
05184.png,pantheon,val,0,target
04955_aug_0.png,hofburg_imperial_palace,train,1,target
11275.png,pantheon,val,0,target
08964_aug_0.png,pantheon,train,0,target
08434_aug_0.png,pantheon,train,0,target
07485_aug_0.png,hofburg_imperial_palace,train,1,target
12301_aug_0.png,pantheon,train,0,target
02965.png,hofburg_imperial_palace,val,1,target
07765_aug_0.png,hofburg_imperial_palace,train,1,target
09905_aug_0.png,hofburg_imperial_palace,train,1,target
01834_aug_0.png,pantheon,train,0,target
00975_aug_0.png,hofburg_imperial_palace,train,1,target
00675_aug_0.png,hofburg_imperial_palace,train,1,target
05434_aug_0.png,pantheon,train,0,target
03115.png,,challenge,,target
08355.png,,challenge,,target
00985.png,,challenge,,target
03444_aug_0.png,pantheon,train,0,target
02445_aug_0.png,hofburg_imperial_palace,train,1,target
10050.png,,challenge,,target
03535.png,,challenge,,target
00785_aug_0.png,hofburg_imperial_palace,train,1,target
09045_aug_0.png,hofburg_imperial_palace,train,1,target
09444_aug_0.png,pantheon,train,0,target
09855.png,hofburg_imperial_palace,val,1,target
07094.png,,challenge,,target
00084.png,,challenge,,target
02284.png,,challenge,,target
04165.png,,challenge,,target
12117_aug_0.png,pantheon,train,0,target
09995_aug_0.png,hofburg_imperial_palace,train,1,target
03614_aug_0.png,pantheon,train,0,target
07695.png,,challenge,,target
03694_aug_0.png,pantheon,train,0,target
11474_aug_0.png,pantheon,train,0,target
00594_aug_0.png,pantheon,train,0,target
11540.png,,challenge,,target
01685_aug_0.png,hofburg_imperial_palace,train,1,target
05635.png,,challenge,,target
05095.png,hofburg_imperial_palace,val,1,target
12003_aug_0.png,pantheon,train,0,target
01004.png,,challenge,,target
01764_aug_0.png,pantheon,train,0,target
05845.png,hofburg_imperial_palace,val,1,target
02945_aug_0.png,hofburg_imperial_palace,train,1,target
08165_aug_0.png,hofburg_imperial_palace,train,1,target
05625.png,,challenge,,target
05605.png,hofburg_imperial_palace,val,1,target
08855_aug_0.png,hofburg_imperial_palace,train,1,target
06584_aug_0.png,pantheon,train,0,target
09085.png,hofburg_imperial_palace,test,1,target
09404.png,pantheon,val,0,target
02745.png,hofburg_imperial_palace,test,1,target
06265_aug_0.png,hofburg_imperial_palace,train,1,target
11491.png,,challenge,,target
07755.png,hofburg_imperial_palace,val,1,target
03084.png,,challenge,,target
03755.png,hofburg_imperial_palace,test,1,target
08734.png,,challenge,,target
01465.png,,challenge,,target
08064.png,,challenge,,target
10266_aug_0.png,pantheon,train,0,target
08924_aug_0.png,pantheon,train,0,target
08325_aug_0.png,hofburg_imperial_palace,train,1,target
03474.png,pantheon,val,0,target
10634.png,pantheon,test,0,target
11144.png,pantheon,val,0,target
10222_aug_0.png,pantheon,train,0,target
03725.png,,challenge,,target
09345.png,hofburg_imperial_palace,val,1,target
07904_aug_0.png,pantheon,train,0,target
02245.png,,challenge,,target
07604.png,pantheon,val,0,target
05985_aug_0.png,hofburg_imperial_palace,train,1,target
11517_aug_0.png,pantheon,train,0,target
02645_aug_0.png,hofburg_imperial_palace,train,1,target
10274_aug_0.png,pantheon,train,0,target
08565_aug_0.png,hofburg_imperial_palace,train,1,target
04674.png,,challenge,,target
04525_aug_0.png,hofburg_imperial_palace,train,1,target
00094.png,pantheon,val,0,target
02714.png,,challenge,,target
02674.png,pantheon,val,0,target
04195_aug_0.png,hofburg_imperial_palace,train,1,target
07055_aug_0.png,hofburg_imperial_palace,train,1,target
01344.png,pantheon,val,0,target
09305.png,,challenge,,target
07195.png,hofburg_imperial_palace,val,1,target
05854.png,pantheon,val,0,target
06945_aug_0.png,hofburg_imperial_palace,train,1,target
11511_aug_0.png,pantheon,train,0,target
06984.png,,challenge,,target
01634_aug_0.png,pantheon,train,0,target
07655.png,hofburg_imperial_palace,test,1,target
07425.png,hofburg_imperial_palace,val,1,target
04795.png,hofburg_imperial_palace,test,1,target
01794.png,pantheon,test,0,target
00064_aug_0.png,pantheon,train,0,target
11903_aug_0.png,pantheon,train,0,target
01474.png,,challenge,,target
11056.png,pantheon,val,0,target
09265.png,,challenge,,target
04645.png,hofburg_imperial_palace,test,1,target
03234_aug_0.png,pantheon,train,0,target
02615_aug_0.png,hofburg_imperial_palace,train,1,target
10915_aug_0.png,pantheon,train,0,target
06904_aug_0.png,pantheon,train,0,target
05425.png,,challenge,,target
03315_aug_0.png,hofburg_imperial_palace,train,1,target
04725.png,,challenge,,target
01795_aug_0.png,hofburg_imperial_palace,train,1,target
06485_aug_0.png,hofburg_imperial_palace,train,1,target
01835_aug_0.png,hofburg_imperial_palace,train,1,target
02244.png,,challenge,,target
03134_aug_0.png,pantheon,train,0,target
04075.png,,challenge,,target
08135.png,,challenge,,target
11816_aug_0.png,pantheon,train,0,target
12334.png,pantheon,test,0,target
02154_aug_0.png,pantheon,train,0,target
11979_aug_0.png,pantheon,train,0,target
12134_aug_0.png,pantheon,train,0,target
08865.png,hofburg_imperial_palace,val,1,target
12311.png,,challenge,,target
04744.png,pantheon,val,0,target
08575.png,hofburg_imperial_palace,val,1,target
03035_aug_0.png,hofburg_imperial_palace,train,1,target
10752.png,,challenge,,target
09114.png,pantheon,test,0,target
00554_aug_0.png,pantheon,train,0,target
10538.png,pantheon,val,0,target
01164.png,,challenge,,target
07185.png,hofburg_imperial_palace,val,1,target
07835.png,,challenge,,target
09054.png,pantheon,val,0,target
01404.png,pantheon,val,0,target
04815_aug_0.png,hofburg_imperial_palace,train,1,target
08725_aug_0.png,hofburg_imperial_palace,train,1,target
09854.png,pantheon,val,0,target
07465.png,hofburg_imperial_palace,test,1,target
05585_aug_0.png,hofburg_imperial_palace,train,1,target
10413.png,pantheon,val,0,target
09164.png,pantheon,val,0,target
02075.png,,challenge,,target
00134.png,,challenge,,target
03325_aug_0.png,hofburg_imperial_palace,train,1,target
09445.png,hofburg_imperial_palace,val,1,target
11912_aug_0.png,pantheon,train,0,target
07775.png,hofburg_imperial_palace,test,1,target
02454.png,pantheon,val,0,target
07535.png,hofburg_imperial_palace,val,1,target
05204_aug_0.png,pantheon,train,0,target
01054_aug_0.png,pantheon,train,0,target
00275.png,hofburg_imperial_palace,val,1,target
01084.png,,challenge,,target
00224.png,pantheon,val,0,target
06864_aug_0.png,pantheon,train,0,target
01705_aug_0.png,hofburg_imperial_palace,train,1,target
10519.png,pantheon,val,0,target
02255_aug_0.png,hofburg_imperial_palace,train,1,target
06235.png,,challenge,,target
00394.png,pantheon,test,0,target
01754_aug_0.png,pantheon,train,0,target
01154_aug_0.png,pantheon,train,0,target
11316.png,pantheon,val,0,target
12141.png,,challenge,,target
09825.png,hofburg_imperial_palace,test,1,target
01545.png,hofburg_imperial_palace,test,1,target
03734.png,,challenge,,target
01845.png,hofburg_imperial_palace,val,1,target
01214.png,,challenge,,target
00334_aug_0.png,pantheon,train,0,target
00265.png,hofburg_imperial_palace,test,1,target
04095.png,,challenge,,target
09134_aug_0.png,pantheon,train,0,target
06775_aug_0.png,hofburg_imperial_palace,train,1,target
00305.png,hofburg_imperial_palace,test,1,target
06134.png,pantheon,val,0,target
01714_aug_0.png,pantheon,train,0,target
06055.png,,challenge,,target
11020.png,,challenge,,target
07354_aug_0.png,pantheon,train,0,target
08655_aug_0.png,hofburg_imperial_palace,train,1,target
03464_aug_0.png,pantheon,train,0,target
02264.png,,challenge,,target
09505_aug_0.png,hofburg_imperial_palace,train,1,target
05835.png,hofburg_imperial_palace,val,1,target
05954_aug_0.png,pantheon,train,0,target
10084_aug_0.png,pantheon,train,0,target
12211.png,pantheon,val,0,target
08304_aug_0.png,pantheon,train,0,target
06865_aug_0.png,hofburg_imperial_palace,train,1,target
06354_aug_0.png,pantheon,train,0,target
07725.png,,challenge,,target
02585.png,,challenge,,target
06595.png,hofburg_imperial_palace,val,1,target
07225.png,hofburg_imperial_palace,val,1,target
09145.png,,challenge,,target
04615_aug_0.png,hofburg_imperial_palace,train,1,target
08035_aug_0.png,hofburg_imperial_palace,train,1,target
01525_aug_0.png,hofburg_imperial_palace,train,1,target
07955.png,hofburg_imperial_palace,val,1,target
05215_aug_0.png,hofburg_imperial_palace,train,1,target
04915.png,hofburg_imperial_palace,val,1,target
00105.png,,challenge,,target
09035_aug_0.png,hofburg_imperial_palace,train,1,target
03175.png,hofburg_imperial_palace,val,1,target
06744.png,,challenge,,target
03764.png,pantheon,val,0,target
04205_aug_0.png,hofburg_imperial_palace,train,1,target
08895.png,hofburg_imperial_palace,test,1,target
06415.png,,challenge,,target
03834.png,pantheon,test,0,target
08394.png,pantheon,val,0,target
11988.png,,challenge,,target
02895_aug_0.png,hofburg_imperial_palace,train,1,target
04564_aug_0.png,pantheon,train,0,target
05314.png,,challenge,,target
05285.png,hofburg_imperial_palace,val,1,target
09385_aug_0.png,hofburg_imperial_palace,train,1,target
00135.png,hofburg_imperial_palace,val,1,target
03475.png,hofburg_imperial_palace,val,1,target
03165_aug_0.png,hofburg_imperial_palace,train,1,target
10239.png,,challenge,,target
00514.png,pantheon,test,0,target
02385.png,hofburg_imperial_palace,val,1,target
02404.png,pantheon,val,0,target
01065_aug_0.png,hofburg_imperial_palace,train,1,target
06734.png,,challenge,,target
11649.png,,challenge,,target
03155_aug_0.png,hofburg_imperial_palace,train,1,target
05614.png,,challenge,,target
07634.png,,challenge,,target
11633.png,pantheon,val,0,target
10376.png,,challenge,,target
12241.png,pantheon,val,0,target
06644_aug_0.png,pantheon,train,0,target
04155.png,hofburg_imperial_palace,val,1,target
09364.png,,challenge,,target
01724.png,pantheon,val,0,target
02125_aug_0.png,hofburg_imperial_palace,train,1,target
05895.png,,challenge,,target
04735_aug_0.png,hofburg_imperial_palace,train,1,target
06095.png,,challenge,,target
00014.png,pantheon,test,0,target
11487.png,pantheon,test,0,target
09335_aug_0.png,hofburg_imperial_palace,train,1,target
00425.png,hofburg_imperial_palace,test,1,target
11338.png,pantheon,test,0,target
10623.png,pantheon,test,0,target
11565.png,,challenge,,target
08185_aug_0.png,hofburg_imperial_palace,train,1,target
01745.png,hofburg_imperial_palace,val,1,target
05595.png,,challenge,,target
01185.png,,challenge,,target
01704_aug_0.png,pantheon,train,0,target
04144.png,pantheon,test,0,target
03135_aug_0.png,hofburg_imperial_palace,train,1,target
01825.png,hofburg_imperial_palace,val,1,target
09495_aug_0.png,hofburg_imperial_palace,train,1,target
07355.png,hofburg_imperial_palace,test,1,target
03654_aug_0.png,pantheon,train,0,target
02515.png,hofburg_imperial_palace,val,1,target
05195_aug_0.png,hofburg_imperial_palace,train,1,target
02595.png,hofburg_imperial_palace,test,1,target
04295.png,hofburg_imperial_palace,test,1,target
10821.png,pantheon,val,0,target
09295.png,,challenge,,target
06225_aug_0.png,hofburg_imperial_palace,train,1,target
03545.png,hofburg_imperial_palace,val,1,target
02175_aug_0.png,hofburg_imperial_palace,train,1,target
04544.png,,challenge,,target
02865_aug_0.png,hofburg_imperial_palace,train,1,target
07724.png,pantheon,val,0,target
00835.png,hofburg_imperial_palace,val,1,target
04385_aug_0.png,hofburg_imperial_palace,train,1,target
04775_aug_0.png,hofburg_imperial_palace,train,1,target
03455_aug_0.png,hofburg_imperial_palace,train,1,target
03955.png,hofburg_imperial_palace,test,1,target
08625_aug_0.png,hofburg_imperial_palace,train,1,target
08324.png,,challenge,,target
03085.png,hofburg_imperial_palace,test,1,target
04485_aug_0.png,hofburg_imperial_palace,train,1,target
03555_aug_0.png,hofburg_imperial_palace,train,1,target
08345_aug_0.png,hofburg_imperial_palace,train,1,target
04015_aug_0.png,hofburg_imperial_palace,train,1,target
11866_aug_0.png,pantheon,train,0,target
02274_aug_0.png,pantheon,train,0,target
04845.png,hofburg_imperial_palace,test,1,target
00535.png,hofburg_imperial_palace,test,1,target
04455_aug_0.png,hofburg_imperial_palace,train,1,target
04535_aug_0.png,hofburg_imperial_palace,train,1,target
10690.png,,challenge,,target
07994_aug_0.png,pantheon,train,0,target
11066.png,pantheon,val,0,target
06715_aug_0.png,hofburg_imperial_palace,train,1,target
05324_aug_0.png,pantheon,train,0,target
04395.png,,challenge,,target
03164_aug_0.png,pantheon,train,0,target
07474_aug_0.png,pantheon,train,0,target
12043.png,,challenge,,target
11441_aug_0.png,pantheon,train,0,target
07364_aug_0.png,pantheon,train,0,target
05884.png,pantheon,val,0,target
08615_aug_0.png,hofburg_imperial_palace,train,1,target
02555.png,,challenge,,target
07445_aug_0.png,hofburg_imperial_palace,train,1,target
02205_aug_0.png,hofburg_imperial_palace,train,1,target
10009.png,pantheon,val,0,target
12460.png,,challenge,,target
07384_aug_0.png,pantheon,train,0,target
01645_aug_0.png,hofburg_imperial_palace,train,1,target
08255_aug_0.png,hofburg_imperial_palace,train,1,target
11379_aug_0.png,pantheon,train,0,target
05604.png,,challenge,,target
08515.png,hofburg_imperial_palace,test,1,target
00694.png,,challenge,,target
00735_aug_0.png,hofburg_imperial_palace,train,1,target
05045.png,hofburg_imperial_palace,val,1,target
08094_aug_0.png,pantheon,train,0,target
03934.png,pantheon,val,0,target
10144.png,pantheon,val,0,target
03854.png,pantheon,test,0,target
00994.png,pantheon,val,0,target
11507_aug_0.png,pantheon,train,0,target
12018_aug_0.png,pantheon,train,0,target
06925.png,hofburg_imperial_palace,test,1,target
02884.png,pantheon,test,0,target
11971_aug_0.png,pantheon,train,0,target
00315_aug_0.png,hofburg_imperial_palace,train,1,target
06284.png,pantheon,val,0,target
05414_aug_0.png,pantheon,train,0,target
01565.png,hofburg_imperial_palace,val,1,target
03815_aug_0.png,hofburg_imperial_palace,train,1,target
08095.png,hofburg_imperial_palace,val,1,target
06845_aug_0.png,hofburg_imperial_palace,train,1,target
09485_aug_0.png,hofburg_imperial_palace,train,1,target
03625.png,hofburg_imperial_palace,val,1,target
01675_aug_0.png,hofburg_imperial_palace,train,1,target
03985_aug_0.png,hofburg_imperial_palace,train,1,target
07965_aug_0.png,hofburg_imperial_palace,train,1,target
12470.png,pantheon,val,0,target
06334_aug_0.png,pantheon,train,0,target
01744_aug_0.png,pantheon,train,0,target
00775_aug_0.png,hofburg_imperial_palace,train,1,target
04585.png,hofburg_imperial_palace,val,1,target
11873_aug_0.png,pantheon,train,0,target
09574.png,pantheon,val,0,target
06685.png,,challenge,,target
03224_aug_0.png,pantheon,train,0,target
06104.png,pantheon,val,0,target
01935_aug_0.png,hofburg_imperial_palace,train,1,target
00294.png,pantheon,test,0,target
03984_aug_0.png,pantheon,train,0,target
00555.png,,challenge,,target
02844_aug_0.png,pantheon,train,0,target
07975_aug_0.png,hofburg_imperial_palace,train,1,target
10534.png,pantheon,val,0,target
03925_aug_0.png,hofburg_imperial_palace,train,1,target
10320_aug_0.png,pantheon,train,0,target
08164.png,pantheon,val,0,target
06854.png,pantheon,val,0,target
11399_aug_0.png,pantheon,train,0,target
05294_aug_0.png,pantheon,train,0,target
05335.png,,challenge,,target
10629_aug_0.png,pantheon,train,0,target
08815_aug_0.png,hofburg_imperial_palace,train,1,target
09135.png,,challenge,,target
06534_aug_0.png,pantheon,train,0,target
04754_aug_0.png,pantheon,train,0,target
05885.png,hofburg_imperial_palace,test,1,target
04285_aug_0.png,hofburg_imperial_palace,train,1,target
02004.png,pantheon,val,0,target
04225_aug_0.png,hofburg_imperial_palace,train,1,target
11272.png,pantheon,val,0,target
04204.png,pantheon,val,0,target
11680_aug_0.png,pantheon,train,0,target
04074.png,pantheon,val,0,target
09435_aug_0.png,hofburg_imperial_palace,train,1,target
11461_aug_0.png,pantheon,train,0,target
09115_aug_0.png,hofburg_imperial_palace,train,1,target
05864_aug_0.png,pantheon,train,0,target
08675.png,hofburg_imperial_palace,val,1,target
09684_aug_0.png,pantheon,train,0,target
09184.png,pantheon,val,0,target
01205.png,,challenge,,target
03705_aug_0.png,hofburg_imperial_palace,train,1,target
02084_aug_0.png,pantheon,train,0,target
05865.png,,challenge,,target
08184_aug_0.png,pantheon,train,0,target
03404_aug_0.png,pantheon,train,0,target
12317.png,pantheon,val,0,target
