reviewText,unixReviewTime,reviewTime,rating,label
One of the greatest anime films of all time in a cool metal case. Everything worked fine and came in good condition.,1519344000,"02 23, 2018",5.0,1
I read the other reviews and decided we would watch this for our family night.... not impressed. If this was suppose to be as good as Overboard it is a complete failure. I love all the actors but the story line was super weak and not family friendly at all. Don't bother!,1455321600,"02 13, 2016",1.0,-1
Was one of my favorites when I was a kid.  It was the first to have a 90 minute format.  Lots of drama and comedy!  There are conversations with some of the actors as extras to this collection.,1403654400,"06 25, 2014",5.0,1
The movie was a good movie especially with Robert DeNiro in the lead role.  He is one of my favorite actors.,1395964800,"03 28, 2014",4.0,1
This was an Ok movie.  Some great twists.  Kind of went south with the special unit.  The ending did save it a little bit.  Maybe a sequel?,1419552000,"12 26, 2014",3.0,0
Funny,1507248000,"10 6, 2017",5.0,1
very good,1428105600,"04 4, 2015",5.0,1
Thank You,1417651200,"12 4, 2014",5.0,1
"Brad Pitt's best movie, in my humble opinion. I love watching this flick, it's one that gets better with repeat viewing. It's taken me a while to figure out most of what's being said due to the very strong accents but that's part of the charm. It's a really fun flick done by some of the best actors for the genre - a really enjoyable film.",1463270400,"05 15, 2016",5.0,1
"This is supposedly being restored for Bluray 3D....I watched it with that in mind- a silly 50's Sci-Fi film, but a bit entertaining.",1425945600,"03 10, 2015",2.0,-1
This is by far the best of the 3 Left Behind movies!,1516665600,"01 23, 2018",5.0,1
could have been a lot better,1414540800,"10 29, 2014",3.0,0
Well done. It succeeds.  But it is strange and will leave you scratching your head.,1440201600,"08 22, 2015",2.0,-1
"Suspense, great actor Vin Diesel, good cast. Keeps you at the edge of your seat.",1456876800,"03 2, 2016",5.0,1
Pretty descent film considering the times but then I'm a sucker for any western film.,1443484800,"09 29, 2015",3.0,0
"Started off very interesting and had some funny moments, but was still missing something.  The main issue is trying to have a comedy and horror movie at the same time cant really be done.  It's just to weird and doesn't help advance the plot or the characters.",1352678400,"11 12, 2012",2.0,-1
I love Christmas specials and try to watch all of them I can. This was great one for younger children or those of us who are young at heart!,1389225600,"01 9, 2014",4.0,1
"The actress was fine, but the movie itself was a bit unsettling for me.",1442361600,"09 16, 2015",2.0,-1
"The premise of this movie was the most interesting thing about it. A man obsessed with a life apart. Good sci-fi, but a disappointing ending, in my opinion. It's like they ran out of ideas.... or money... at the end.",1432080000,"05 20, 2015",3.0,0
I would have been disappointed to pay for a ticket to watch this movie but it was okay for Prime.  It was moderately entertaining.,1479254400,"11 16, 2016",3.0,0
"Its Scooby Doo folks, the kids love it and its keeps them entertained. I would recommend the dvd and seller.",1393632000,"03 1, 2014",5.0,1
"That was awful. Keep an eye on that Director so you'll know to avoid future work. No character development whatsoever. I wasn't rooting for anybody. The ridiculously large alien at the end was so over the top that it made me start hoping for a ""final solution"" ending. No even going to think about seeing another sequel.",1476662400,"10 17, 2016",1.0,-1
"I know that title is over used but this movie is awesome.  The actors are great, the story is great--the outcome of the battle is sad but is known.I have waited a long time for Amazon to have this movie available to purchase.  When I saw it was available, I grabbed it right away.  I have seen it before, many many times but never get tired of it.This movie is not a disappointment--at least not for me",1392854400,"02 20, 2014",5.0,1
didn't like at all,1421712000,"01 20, 2015",1.0,-1
"I actually love this.I acknowledge this isn't a great film, and it possesses none of the greatness and novelty of the first film, but it was infinitely better than the first film.The goal was to introduce more dinosaurs, and in that, the film succeeded.  I loved watching new dinosaurs, no matter how brief.I found this film to be more intriguing, more interesting, and more enjoyable film than the second film.  This film was good on its own.  The human characters were interesting, and I enjoyed the story.I love it when it come on reruns.",1458604800,"03 22, 2016",3.0,0
Good movie,1532822400,"07 29, 2018",3.0,0
Another bike movie that don't make sense a waste of film and star power. Poor actor this is one of those films he will care to forget & regrets,1385164800,"11 23, 2013",2.0,-1
"A classic Mel Brooks movie with some of the funniest, and gifted actors.",1417046400,"11 27, 2014",5.0,1
"Cool concept but could have lived with out seeing it.  Boring and not the best acting.  Documentary style movies like this are not my favorite as they are jarring, confusing and take away from some important scenes at times.  Overall not one I would recommend.",1421366400,"01 16, 2015",2.0,-1
So so movie i thought.,1418342400,"12 12, 2014",3.0,0
Slow,1468540800,"07 15, 2016",3.0,0
Horrendous!  Terrible!  An embarrassment to the film industry!  But it has received an award....and it was presented to me moments after I watched the movie...Idiot of the Year!,1326412800,"01 13, 2012",1.0,-1
Good movie not as funny as I thought it was gonna be. Worth watching if you are already a Trailer Park Boys fan. Or like independent movies no big special effects just a decent movie worth watching if you having seen it already.,1415404800,"11 8, 2014",3.0,0
"If you're bored and need something to fill the time, this will do just fine.",1469491200,"07 26, 2016",3.0,0
"I thought it would be more interesting than it was. Between poor acting and missing what could have been a descent story line they dropped the ball. There are some attractive ladies who don't act very well and do show some breasts once in awhile, but don't make up for a bad show.",1393459200,"02 27, 2014",2.0,-1
"This is a very unusual movie...not one I would normally choose.  I can't even really say why I watched it.  It was pretty slow going at first and normally that would have earned it a quick cut-off from my watching, but I guess it was the topic that was strange enough to keep me watching.  In the end, there was empathy for the main character and a sort of redemption of ""human nature"".  I'm still thinking about it on occasion so that says something.....",1446422400,"11 2, 2015",3.0,0
I didn't watch but would like to. Looked interesting.,1444176000,"10 7, 2015",3.0,0
"Children in danger, ""F-bombs"", gore and nudity.  Some pretty intensely frightening imagery.  Cool sound effects - Woo, Scary Kids!",1419292800,"12 23, 2014",3.0,0
After watching 13 soldiers story. I realize how awesome these soldiers are but thought it was more movie type,1484697600,"01 18, 2017",2.0,-1
"I wasn't sure if this movie would stand up to the test of time. We haven't seen it for years, but it was always one of my husbands ""favorites"". I remember seeing it with him, at a drive-in theater, when we were dating! We still enjoyed it (my god, almost 40 years later!), although I'm sure nostalgia was a big factor for us. The DVD quality is reasonable for a 70's movie. We haven't listened to the commentary yet, but look forward to watching all the special features.",1369785600,"05 29, 2013",4.0,1
"WHAT A FUNNY MOVIE!  I love both of these actors anyway, and Ryan Reynolds is one of my very favorite.  He always delivers. He is a single fun loving guy and his friend is married with twins.  They wish for each others lives and .....guess what?",1401840000,"06 4, 2014",5.0,1
"This movie is point blank awful. It has no story line, no character you can connect with. No story, no middle, a goofy end. It was one of the worst movies I ever watched!!",1453680000,"01 25, 2016",1.0,-1
"Started watching  Kingdom Come , but the story line was weak, and so I stopped watching the movie after 20 minutes.",1425945600,"03 10, 2015",1.0,-1
I enjoyed the movie on a long flight.  It was funny with enjoyable actors and the storyline was different enough from the fairytale that it was a tad unpredictable.,1372550400,"06 30, 2013",4.0,1
fantastic.  a must see.,1479340800,"11 17, 2016",5.0,1
"Dated genre with established actors. Fairly good story with interesting twists and a unique, unexpected ending.Good for cold quiet night in winter with a bag of popcorn.",1375574400,"08 4, 2013",4.0,1
ok,1438992000,"08 8, 2015",3.0,0
this is easily one of the funniest movies i have seen in years. the storyline is refreshing and the actors are great.,1238112000,"03 27, 2009",5.0,1
Not good....  Not good at all....,1421107200,"01 13, 2015",1.0,-1
Good movie. Held my interest.,1447027200,"11 9, 2015",3.0,0
Movie with a good message--what do we want to focus on and how our lives and others can be improved when we decide to help others.  Definitely a Christian movie with a great Christmas theme.,1449964800,"12 13, 2015",3.0,0
Great movie.,1445472000,"10 22, 2015",5.0,1
I found this to be quite stretched - acting was not great.,1431734400,"05 16, 2015",1.0,-1
I can't say anything bad about Mr Smith because I just love him and his son did very well for his part but I just couldn't understand the story line.,1387324800,"12 18, 2013",3.0,0
MUST GET FOR ALL SUPERMAN FANS!!!,1508544000,"10 21, 2017",4.0,1
I liked the book better.,1467158400,"06 29, 2016",3.0,0
Creepy for sure.,1443225600,"09 26, 2015",3.0,0
This movie seems to be a simple movie...BUT WOW... extremely thought provoking.  I gladly got another one for a friend.  I also got the sequel to see if it is as good. I love the actors too...'less is MORE' in this movie,1373673600,"07 13, 2013",5.0,1
a few movies are great but the rest not so much,1470355200,"08 5, 2016",1.0,-1
Slow start but good ending,1440633600,"08 27, 2015",3.0,0
I didn't order this book,1468886400,"07 19, 2016",3.0,0
"Makes me want to ask the question: ""Is this the best we can dream up regarding the future?"" Ms. Lawrence does an adequate job in her role as a young female survivor, but the whole story line is too ""unbelievable"" for me. Must be my advanced age coming through.",1388966400,"01 6, 2014",3.0,0
senseless violence. dafoe excellent...,1483315200,"01 2, 2017",1.0,-1
"I'm a big fan of the ""Next Generation"" Star Trek series.I had no idea this movie was available thru Prime.Great movie, lots of action, and amazing actors.",1471219200,"08 15, 2016",5.0,1
"This movie starts out very interesting and promising, but falls apart very quick.  I didn't like all the flashbacks sequences they did because it was trying to make you feel like they were trying to explain to you about what was going on thinking you couldn't follow it.  If you're going to get all these really good actors together then you need a better story.  This movie has a  little action, but not really that much like you might think by looking at the cover or reading the synopsis on the back.  I don't recommend this to anybody.",1402358400,"06 10, 2014",1.0,-1
this movie is a sweet movie to watch...the actors all do a good job.  I bought this dvd as a gift for my sister in law...she enjoyed it.  Hallmark movies are my type of entertainment.,1379462400,"09 18, 2013",5.0,1
"Not very well made, not the kind of movie I enjoy.",1439856000,"08 18, 2015",1.0,-1
"Good quality, well acted but short on ideas and the second actor who is one of the creatures truly steals the show",1483574400,"01 5, 2017",4.0,1
Great christmas movie. I enjoyed it very much. Good story with good actors.,1416700800,"11 23, 2014",5.0,1
Buying at AMAZON is always a great! The Old Curiosity Shop is a charming story. It isn't what I expected; I was pleasantly surprised and it is good source of entertainment. I recommend it for all ages.,1318032000,"10 8, 2011",5.0,1
the trouble with old movies is the sound (if i remember right there was trouble with this one's sound though it could be i just don't remember probably a good movie though i think would be superb if the sound was better,1397347200,"04 13, 2014",4.0,1
Wow the signing was awesome! I kept hoping for a resolve in the lead actors relationship but knew the outcome was going to be bad. Just a heartbreaking movie with visceral emotion through dialogue and song.,1434758400,"06 20, 2015",5.0,1
this movie was very good and the actors was also good,1487030400,"02 14, 2017",5.0,1
Terrible,1413590400,"10 18, 2014",1.0,-1
Great movie that reflects relationships while attending Officer Candidate School.  Fictional movie with true insights.,1457654400,"03 11, 2016",5.0,1
This movie sucked!,1446336000,"11 1, 2015",1.0,-1
Really bad movie...,1408492800,"08 20, 2014",2.0,-1
"Dumb, just dumb!  There was no real point to any of it and difficult to understand when the plot developed.",1384819200,"11 19, 2013",2.0,-1
"The acting is okay, the script is decent, don't expect too much from this movie because you will be disappointed.  I started watching this with zero expectations, which is probably why it has three stars instead of two. I liked the lead, she was very convincing, i just wish she had a better script to work with. The entire movie is enjoyable, but don't expect to find out the exact reasons why, or what exactly is wrong with her. That's something i usually want in a movie about someone seeking revenge, i want a bit more of an explanation, but that's fine, we can show various horse scenes instead.",1456704000,"02 29, 2016",3.0,0
"it had potential , they could make a better movie with this story",1420588800,"01 7, 2015",3.0,0
horrible quality dvd,1500681600,"07 22, 2017",1.0,-1
"Of the three Hobbit and three Lord of the Rings movies this was by far the weakest.  Where the CGI graphics were spectacular in the other films, it fell short here.  I absolutely had to see it to finish out the series, but not sure I could recommend this one as a stand alone film.",1427328000,"03 26, 2015",3.0,0
"Nick Cannon coming out party as an actor, very good movie!",1515715200,"01 12, 2018",5.0,1
I just not care for the movie. I did not like the FBI character. If this was based on a true story I just hope the FBI had become more professional since then.,1395446400,"03 22, 2014",3.0,0
"Very slow at the beginning, took a while to get invested in the characters.",1475452800,"10 3, 2016",3.0,0
"This movie just made me angry.  First, I love Cate Blanchett and she did a great job.  Robert Redford was terribly miscast and it throws off the pace.  I know this was based on the book called Truth....  but it wasn't about truth at all.  They didn't lose their jobs because they were telling the truth they lost them because they ignored the truth  and wanted to create a story, not report it.",1458000000,"03 15, 2016",2.0,-1
Great movie after a great book. Sometimes its hard to watch because it is so good and raw but the actors really did amazingly well.,1400716800,"05 22, 2014",5.0,1
No review.,1438992000,"08 8, 2015",2.0,-1
20 minutes in and we had to cry uncle.this is just plain bad.,1420156800,"01 2, 2015",1.0,-1
"Excellent movie. Love Denzel Washington. Also this movie keeps my fear of flying going. Movie moves fast and Denzel is at his best, one fantastic actor.",1385251200,"11 24, 2013",5.0,1
This movie was supposed to be awesome; the best time travel/science fiction movie in a long time.  I thought it was merely an ok action flick.  I hated the make-up they put on Joseph Gordon-Levitt; I found it very distracting and completely unnecessary.,1359331200,"01 28, 2013",3.0,0
poor,1464739200,"06 1, 2016",2.0,-1
Very good sequel........... much stronger than many others.  The strength of Nicolas Cage as lead actor definitely carried the weight of the movie.,1353542400,"11 22, 2012",5.0,1
"i found it to be tedious, it just went on and on and on and on...it could not hold my interest",1416009600,"11 15, 2014",3.0,0
"This special edition of the DVD arrived in good condition. The movie is not quite the same as I remembered it to be, though.  Animation quality has greatly advanced since the 1950s.",1359590400,"01 31, 2013",3.0,0
was not what I expected,1474329600,"09 20, 2016",2.0,-1
Pretty good.,1486339200,"02 6, 2017",3.0,0
"Fluff piece, but sweet.",1438214400,"07 30, 2015",3.0,0
"Great Movie!  awesome action, the actors were amazing in their roles.  the special effects were amazing!  the entire story that it told was so very good.  I highly recommend this movie to anyone wanting to see a Great Movie!",1438560000,"08 3, 2015",5.0,1
Love this movie.,1416873600,"11 25, 2014",5.0,1
Lucy...Lucy...Lucy! Why did i sit to watch this movie. Lost interest at the beginning. Acting was terrible from the entire cast. Why did i sit to watch it? Why? :  (,1424649600,"02 23, 2015",1.0,-1
"We got the first few episodes of this because we liked the leading actress in it (also on Friday Night Lights - which I highly recommend to adult audiences).  This series was just a little too sick for me.  I don't mind some creepiness, but there was too much in here that was just plain ""sick"".  We quit after 2 episodes.",1322352000,"11 27, 2011",1.0,-1
The stars are for video quality and scenes. The acting was bad. The story was poor quality. There's nothing there in the plot except him just starting to introduce her to his sex life and her breaking off. Nothing that happens really makes any sense.,1464393600,"05 28, 2016",2.0,-1
"Blah, blah, blah.  Premise interesting, lackluster and sometimes ridiculous writing and directing, Scarlett Johansson gives a ridiculous performance with what looks like no help at all from the director.",1438214400,"07 30, 2015",2.0,-1
"A fun bit of fluff with lots of great special effects, but there was some major reaching and stretching that took away from it. Would give 3 1/2  stars, if possible.",1453593600,"01 24, 2016",3.0,0
Very interesting background into making the Matrix movie.  Learned a lot about the photography & the work the actors put into becoming their parts.  It is not a Matrix movie but a movie about making the Matrix movies.,1435881600,"07 3, 2015",3.0,0
"Not a very good movie. The story is slow  choppy, and hard to follow. It is no way as good as the first one. My lady movie critic and I give i two thumbs down.",1107216000,"02 1, 2005",2.0,-1
"I wish there had been reviews before I bought this movie.  I didn't like it, my children didn't like it and my grandkids didn't like it, what more can you say, it was pretty stupid.  What a waste of money!",1282089600,"08 18, 2010",1.0,-1
Quite vulgar and obnoxious!,1484006400,"01 10, 2017",1.0,-1
Really bad.,1479168000,"11 15, 2016",1.0,-1
"i took a chance on this because i love wagon train and hoped for a better transfer than the ones i had.well that didn't work out to good because the transfers were the worst i have seen. sound drop-outs,blurry,and the sound the rest of the time seemed to be off some from the speech. i may have been just me but do be careful",1146787200,"05 5, 2006",1.0,-1
Thanks,1475366400,"10 2, 2016",5.0,1
References abound to earlier comedies. Fun if you have lots of patience.,1468886400,"07 19, 2016",3.0,0
JUST OKAY.,1505088000,"09 11, 2017",3.0,0
Long and drawn out tale over nothing....I kept waiting on something interesting to happen but it never did.,1487376000,"02 18, 2017",1.0,-1
"nice but, It just ended without warning",1459296000,"03 30, 2016",3.0,0
I loved the meditation and music but everything in his dvd's are so fast that I don't get a good stretch and in the end it doesn't help me.,1328227200,"02 3, 2012",3.0,0
This may be the best series ever to play on public television. Great cast and a plethora of good guest stars all the while giving you a nice historical view of California during the 1970's.Not like any other crime or detective stories made for television. A real treat if you have not seen this before.,1460592000,"04 14, 2016",5.0,1
another classic movie. Funny computer screens look like 1983 computer screens,1409616000,"09 2, 2014",5.0,1
"not great, but pretty good movie.",1475193600,"09 30, 2016",3.0,0
Couldn't decide if this was a comedy or a serious movie,1453680000,"01 25, 2016",2.0,-1
Surprisingly a good actor.,1467849600,"07 7, 2016",4.0,1
5 Stars,1421798400,"01 21, 2015",5.0,1
The plots are well thought out. I have always appreciated the actors and their dialogue.  I watch the episodes over and over again.,1435449600,"06 28, 2015",5.0,1
Save your money!!!!!!! You have to drive a stake in the ground to see if the movie is moving!,1419897600,"12 30, 2014",2.0,-1
"Boring.  We should have knows that whenever it is OVER an area, you will see trees or water.  The mountains were great but these over movies are great to  put you to sleep.",1399334400,"05 6, 2014",3.0,0
"Odd, but interesting",1411084800,"09 19, 2014",3.0,0
Dark and irritating!Jake Gyllenhaal is really the only thing about this movie  worth watching he is a great actor.But the entire movie is predictable and boring.,1428624000,"04 10, 2015",1.0,-1
"Loved this show. Great actors, great story, very well done.",1472860800,"09 3, 2016",5.0,1
"Stupid, stupid. Stupid! What a waste of my time!",1436745600,"07 13, 2015",1.0,-1
Entertaining but not much else.,1475107200,"09 29, 2016",3.0,0
best actor ever  watch them over and over,1408579200,"08 21, 2014",5.0,1
"bad story, bad scripting, bad effects.",1463875200,"05 22, 2016",1.0,-1
"Denzel Washington is a very good actor and can play anything he wants.  He did a top notch job as a pilot.  This movie was exciting and could relate to issue going on today.  Also, makes you think how many pilot or professional operate under the influences.  I would recommend this movie to others.",1377475200,"08 26, 2013",4.0,1
"This movie was AWFUL, thought it would get better, but nope, it was terrible throughout. Poorly made, and the actors in it were terrible I wouldn't make my worst enemy watch this mess.",1357948800,"01 12, 2013",1.0,-1
The bluray looks like a copy from a vhs tape very bad and no special features except the trailer don't buy it..,1399680000,"05 10, 2014",2.0,-1
A few laughs but overall waste of money.,1446940800,"11 8, 2015",2.0,-1
"...would've been even better if Sean Bean had been given a non-lame character to play, and if the bad guy had been played by much more of a natural-bad-guy type actor.",1472256000,"08 27, 2016",5.0,1
"Purchased to complete our ""James Bond series""",1426550400,"03 17, 2015",5.0,1
"Really like Denzel but this is not his best, mostly due to a predictable script. Just a few too many of the same old ""fighting my demons"" scenario's for my taste.",1386288000,"12 6, 2013",3.0,0
Nice actors; but kind of boring.,1461715200,"04 27, 2016",3.0,0
Great classic love the twist,1432944000,"05 30, 2015",5.0,1
"I didn't realize that this was a region 2 DVD only, so I cannot play it on my machine.  But I love this movie!",1476662400,"10 17, 2016",3.0,0
"I really did love this series, but I felt that it became very weak in the  end. It was almost like the producers had no good ending. The setting is  worth the purchase. The actors are well suited to their roles.",1308787200,"06 23, 2011",4.0,1
"fantastic item shipped as requested, great!  I'm very pleased have a wonderful blessed day John 3:17 filled with lots of smiles :D",1360540800,"02 11, 2013",5.0,1
Pretty weak plot but lots of action.,1419984000,"12 31, 2014",2.0,-1
"The movie had the cinematic action you would expect for a sci-fi movie, but the storyline is weak. The relationship among the characters doesn't make a lot of sense and the movie leaves you wanting more.",1389398400,"01 11, 2014",3.0,0
"Kind of lame, frankly. But at least it's clean and watchable for the whole family.",1405036800,"07 11, 2014",3.0,0
One of his best.,1433721600,"06 8, 2015",5.0,1
A bittersweet sentimental drama. Both were tempted. Both did not resist. Time ran out for her. It wasn't your typical ending where they get it straight just in time. All of the players were good actors. You just didn't have that good feeling when the movie played out. Tragic to some degree. Well worth watching for the most part.,1439164800,"08 10, 2015",4.0,1
special effects were pretty good... i didn't care for the actor who played the bad guy... i found him to be unbelievable... i'm a big star wars fan and i did like the story... and the bonus feature is only about how the movie was made... thats not my thing but it was ok...,1487980800,"02 25, 2017",3.0,0
"It was a good movie, but not a great movie.",1484179200,"01 12, 2017",3.0,0
Was fun to watch,1474243200,"09 19, 2016",3.0,0
"Not terribly impressed, probably because I've heard so much about it over the years.  Now I can stop wondering.",1407456000,"08 8, 2014",3.0,0
"Cruel, vulgar, and un-amusing feminist fantasy . . .Three women kidnap and chain their male boss like an animal. Is this supposed to be funny? I was not amused.",1412899200,"10 10, 2014",1.0,-1
"My wife really wanted to see this movie, it was a great movie, the kids and us had pizza and kicked back and watched the movie, it has a good plot and leaves you feeling good afterward.  Matt Damon is a great actor and the little girl in the movie was so cute!!  The love between the teens was a bit over the top, but didn't ruin the movie :-)One thing is that my tv said it was 2.99 and I was billed 3.99 not sure what that was all about.",1393027200,"02 22, 2014",5.0,1
Love this and so do the kids. Wink wink,1463097600,"05 13, 2016",5.0,1
This movie is so good.  So we'll acted and just so funny.  You fail to realize  they. Only win 1 game.  Lol,1415404800,"11 8, 2014",4.0,1
ok,1456876800,"03 2, 2016",3.0,0
"It was an ok movie, but I really didn't like it that well.",1464998400,"06 4, 2016",2.0,-1
this a cute movie those who love's Lucille Ball.  I got this movie for my mom. I thinking getting this for myself next.,1482883200,"12 28, 2016",4.0,1
"I waited awhile before getting this movie.  I was not disappointed.  The message was a good one and the actors did a very good job of delivering the message.  It was sad in a way but then, life isn't always happy.",1503100800,"08 19, 2017",5.0,1
I struggled to even give this movie 1 star. Completely stupid!,1500854400,"07 24, 2017",1.0,-1
"I got these movies as a gift for another person, they where very happy to receive them.  Thank you.",1299283200,"03 5, 2011",3.0,0
It's only one movie on here,1433289600,"06 3, 2015",2.0,-1
not a great film. Matt does a good job of playing a guy who is sorta gay sorta not. It would be a better story if we knew his character's past.,1365724800,"04 12, 2013",3.0,0
Slow beyond words .... Was there dialogue?,1437177600,"07 18, 2015",1.0,-1
"Much of this was hard to understand and when there were subtitles they were often white over white.  I mean, really?",1389916800,"01 17, 2014",3.0,0
"Nice cinematography,  poor storytelling",1473465600,"09 10, 2016",2.0,-1
Good movies. Great dog. would love to have the dog. 3 movies in one set. Funny and good story line.,1353888000,"11 26, 2012",5.0,1
"This is a cute movie, but it teaches a lesson also.",1420243200,"01 3, 2015",3.0,0
Interesting story with good actors.,1409011200,"08 26, 2014",3.0,0
My husband and brother are enjoying their movies; thanks.,1484611200,"01 17, 2017",5.0,1
Brings back a lot of old memories of every Fourth of July when one of the four TV stations would air the movie.,1388275200,"12 29, 2013",5.0,1
"Very fun flick! Loved it, why spoil it by trying to show how smart I am ? That would be a spoiler!",1427155200,"03 24, 2015",4.0,1
"I t was rather slow moving . I did watch it through the end, but not really a gripping show.",1425945600,"03 10, 2015",3.0,0
"This movie was well-crafted and very thoughtful.  We have always enjoyed Matthew McConaughey and, though he played a pivotal role, the movie was stolen by younger actors.  It  was thoroughly enjoyable.",1380758400,"10 3, 2013",5.0,1
I was pleasantly surprised. The actors were good and the story/plot was intriguing.,1502323200,"08 10, 2017",5.0,1
"Would not recommend this movie. Great cast of characters, but otherwise  ""blah"" in every way.  Love Kevin Spacey, but even he did not spice up this movie. .",1393891200,"03 4, 2014",1.0,-1
Decent ish,1514419200,"12 28, 2017",3.0,0
This movie has been around forever.  I remember it from a long time ago and I thought that I had seen it.  I was mistaken.  Nicholson is by far one of the greatest actors ever.  He did a tremendous job.  Well done!,1389571200,"01 13, 2014",5.0,1
This was not worth the money.  My grandson was bored with it.  I'll try it on my 1 yr old granddaughter in awhile.,1377734400,"08 29, 2013",2.0,-1
excellent!!!,1489104000,"03 10, 2017",5.0,1
It was ok,1456531200,"02 27, 2016",3.0,0
Too predictable,1435449600,"06 28, 2015",1.0,-1
Cute movie,1429833600,"04 24, 2015",3.0,0
This was an awful movie!Don't waste your time or money  you'll regret it.Thank God I saw it at a friends house and it only cost me 2 hours of my life that I will never get back.I warned my friend not to do it.Just awful...,1456790400,"03 1, 2016",1.0,-1
It's cute. My young son enjoyed watching this on Easter.,1473811200,"09 14, 2016",3.0,0
"Good movie, good story line, good actors",1446768000,"11 6, 2015",5.0,1
Well Done.  Good performances . typical of the Hollywood movies of the time period but still a good movie.,1428019200,"04 3, 2015",4.0,1
Worst acting ever!,1434067200,"06 12, 2015",1.0,-1
slow,1473552000,"09 11, 2016",2.0,-1
"I thought this movie would be uplifting, boy, was I wrong. It is was very depressing and I can say I would NOT watch it again.",1401235200,"05 28, 2014",2.0,-1
This is about the very best series I have seen.  The actors are superb and the story-line is fantastic.  Shows like this make Amazon Prime worth having.,1457222400,"03 6, 2016",5.0,1
"The set has an edited intro, and most of the best episodes are not included because they did not want to buy the rights. This should have been a perfect complete set! Plus, way too much money for what you get.",1242259200,"05 14, 2009",1.0,-1
A couple of things didn't fit together smoothly to me. Interesting plot.,1436918400,"07 15, 2015",3.0,0
