reviewText,unixReviewTime,reviewTime
A mob movie for every generation to see. I honestly think it was Marty's best work. If you haven't seen it..... See it please.  I'm so glad I found this on blu ray. No more grainy dvd  Quality for me .  I went to best buy and target and none them had it. Ordered it on amazon and I got it in a day. My mob movie HD collection is almost complete.,1449014400,"12 2, 2015"
"This movie is about time--time that moves forward for some people, backward for others. But for those who watch this movie, time won't move at all. You will feel as if you are trapped forever in an ever-changing, but somehow, never-changing time warp of pseudo-profound revelations, full of sound bites and fury, signifying nothing--because nothing is what this movie is all about. Really. Absolutely nothing. Not even Brad Pitt imitating Tom Hanks imitating a Georgia cretin could save this film. And that's saying a lot.Now that I mention it, Queenie's ""You never know what's comin' at ya"" sounds an awful lot like ""Life is like a box of chocolates; you never know what you're gonna get."" And ""Some people are artists, some people dance, etc."" sounds just like ""There's an awful lot you can tell about a person by their shoes. Where they're going. Where they've been."" Could it be that Benjamin Button actually IS Forrest Gump moving forward in time? Or, even more thrilling, could it be that Tom Hanks is Brad Pitt moving backward in time? Does this mean that Brad Pitt will eventually end up on an island, talking to a volley ball? Or, most tantalizing of all, could it be that someday Hollywood writers will go far enough back in time that they will finally come up with an original idea?My recommendation is this: Don't waste 2 hours and 45 minutes of your precious forward-moving time. You will only be one hundred and sixty-five minutes older, and will have gained no greater insight into the true nature of life, love, and dancing. Instead, go get a copy of The Confessions of Max Tivoli (the book) and read it. It's another take on the short story by F. Scott Fitzgerald that inspired this film, but, unlike this dreadfully tedious movie, it is not a waste of your time.",1253404800,"09 20, 2009"
"Someone wanted this for Christmas and we ordered it for him, this is a dumb movie and not for everyone",1386547200,"12 9, 2013"
"same old material again, just street vulgar, no funny substance behind her insults anymore",1451952000,"01 5, 2016"
"What a pile of CRAP.I saw this movie when it first came out.I watched it twice because I thought Imust have missed something.I didn't !!!It is a self absorbed,self indulgent,BORING piece of crap .It looks like it was made by someonewho new nothing about a camera letalone camera angles.Then there's the idea that a woman shouldhit on another woman who she finds physicallyrepugnant and if she doesn't she should considerherself a superficial ,shallow person.I guess the author doesn't know the differencebetween friends and lovers.",1313884800,"08 21, 2011"
"Dredd is truly dreadful. It's just a predictably uninspired, shoot 'em up, video game. All we get from Karl Urban as Judge Dredd are his pouty, frowning lips for an hour and a half. Lena Headey is appropriately deranged and horribly despicable as the villainess, Ma-Ma. It's my least favorite comicbook movie.  Dredd is just sadly bad.",1362787200,"03 9, 2013"
ugly girls in both. boring and short,1083628800,"05 4, 2004"
"AS history buffs we Loved the attention to detail in setting, costume and particularly dialogue.  Extremely well done and entertaining.",1424390400,"02 20, 2015"
"You will never see a worse movie, especially Highlander, than this steaming pile of fresh horse manure.You are hearing this from someone who was an intense fan of the original movie, the television series, the third film and even gave Endgame (the fourth film) a chance. I hated that as well, but -NOTHING- and I mean NOTHING compares to how bad this is. This awful, wretched, steaming pile of waste makes even Endgame look like a viable film.I cannot believe, for a second, that the actors agreed to this and let themselves be humiliated in this farce of a film. The director and producers should be strung up for this, if not worse. I cannot believe they are thinking of doing this as a trilogy and I hope, sincerely hope, that it doesn't ever go further. Highlander needs to be allowed to die off, because it seems the movies are getting worse and worse.Please, please please do not buy this. Do not encourage them to produce more of this garbage and destroy the Highlander mythology and characters even further. What else can I say? If you like Highlander, do NOT buy this movie, because it will ruin it for you. It is beyond bad, it is beyond awful, it is something altogether wretched and vile. You will cry at how bad this movie is, so spare yourself the misery.Shame on you Adrian Paul and everyone else involved, especially the producers, for making this awful, awful movie.",1199836800,"01 9, 2008"
"An excellent movie! Germans hiding a Jew and caring for an orphaned girl, the book thief. All the performances were stellar, even the children. Highly suspenseful.",1417392000,"12 1, 2014"
it may have bombed at the box office the girls and I love this movie despite the creepy eyes of the humans.,1413936000,"10 22, 2014"
This movie really interested me in finding artifacts that lead to a treasure buried beneath a church. I would recommend this movie and the sequel yo people who love looking for a great action movie,1366934400,"04 26, 2013"
Good effects but not much of a plot.,1414368000,"10 27, 2014"
"Whether you know it or not, you've seen The Task before.  Granted it was in the form of plenty of other unoriginal slashers, but you've seen it before, and seen it done way better as well.  A group of college kids all get to participate in a reality game show that takes place in a huge, creepy, run-down prison; with each having to accomplish various tasks that correalate with their own worst fears...or something.  Such things as story, plot, character development, and any sort of logic are all tossed out the window.  None of this would be that bad were it not for the fact that the first hour or so of The Task is so slow and boring and it takes forever to get anything going.  Still, once it gets going, it provides some decent shocks and offers a nice enough denouement, but other than that, there isn't anything else about The Task to recommend in the least.",1311811200,"07 28, 2011"
Great movie!  Great cast.  DVD was in excellent shape and played flawlessly!,1495238400,"05 20, 2017"
Silly.  Sensational.  Simplified.  A fictionalized movie that follows all the formulas - not documentary.,1456272000,"02 24, 2016"
"We watched this after learning that Amazon was charging $9.99 to watch the updated version of Sherlock Holmes 2: Game of Shadows with RDjr. This movie is less entertining but I think at the time it was made it was probably good. This movie has its moments and purportedly portrays the real Holmes in several vignettes. Apparently, this version is heavily edited and several scenes in the original are missing.It is not a bad movie. Filming and music score are nice. Directed by Billy Wilder. Nice movie for a rainy afternoon. The movie warns of mature themes but I think this is a bit of overkill. If you are extremely conservative concerning any sexual matters than -yes- it might be offensive. Mostly the subjects are only mildly sexual and very dated in the humor.",1388793600,"01 4, 2014"
"In my opinion, this movie was a waste of time.",1493683200,"05 2, 2017"
"Same character names, similar story, but different. Not a better different. Not the worst either. The Vampire actress is gorgeous. Her alone was worth it. Plus she is a excellent actress.",1440028800,"08 20, 2015"
"I have to admit when this movie first came out, I didn't think I would like it. I watched it with my daughter and loved it. It is now one of my go to movies",1482019200,"12 18, 2016"
"Augh!  This has to be one of the first movies in a long time that both Mr. Ireland and I ejected from the DVD player.  It goes nowhere.  At all.  The slow build up at the start and the first induced car crash held both of us.  But the lengthly second set up was too dull.  The forced '70's feel of filming interrupted by cellphones, etc burned thin quickly.  The DVD player spat it out while the 2nd set of chicks were debating test-driving stuntman style the white Dodge Challenger.",1304208000,"05 1, 2011"
The movie is great! I really enjoy waching it!,1475798400,"10 7, 2016"
"I love Black And White Films,especially those with Meaning but..when I saw this movie after hearing/reading great acclaim(with the exception of Woody Allen a strange sicklittle man.)Bergman apparently had some daddy issues and that in turn influenced him in Matters of Faith sadly(I don't blame him his dad was a so-called ""Minister"" that's protestantTalk for unqualified and no tradition.)You can tell his Bias stretches into his ""work"" and while the movie has it's merits(the Man is a Crusader back from the Crusade,but sadly is questioning everything and God.)The movie fails for me it might appeal to the so-called intellectual crowd i.e., those who question God and God's Existence and read Castroite Sarte's work(who later on had to admit The failure of the so-called Revolution),The movie is drawn-out long and not even the beautiful camera work and scenes can save it and what is with the Jesus on The cross. It was as although some intentionally made Jesus to look bad on the cross..just a beard.. Add to the movie Chess and you have a egghead's revolution. Watching the movie was an experience I will not forget and will not repeat,given it's NeoPagan/New age(dancing at the end with death and Making the Dark Ages Dark just to fulfill historical myths.)",1323302400,"12 8, 2011"
"I love Liam Neeson's acting and usually the movies he starts in.  This one is so bad and I surprised that he decided to take the role.  It started out to be promising but quickly turned grisly and just plain annoying.  The unrealistic looking wolves who kept tearing people apart were pathetic and the bloody remains of people gruesome to see.  I won't go into more detail about the movie in case you like long, boring movies and want to try suffering through this one.",1379635200,"09 20, 2013"
"Ghost Rig is about a group of environmentalists who decide to bunk down on an old abandoned oil rig to try to prevent it being sunk into the ocean. Soon after the group arrived they start dying one by one, and like in most survival horrors it soon becomes a race to escape. The gimmick of this film is that there is a evil Spirit on the rig and it go from host to host killing the former host as it leaves, this created paranoia and distrust among the characters as they never know who the Spirit is in.You will not really see anything you have not seen before with Ghost Rig, it is a survival horror and that is pretty much it. However the rather nice location of an oil rig, something which is not used in to many movies, and a few twist and turns change things up enough for the movie to be interesting. Now if you are looking for blood and gore you will not be satisfied with Ghost Rig, the evil entity do rack up a body count after a while but there is not much gore, however the film do have a nice atmosphere and while I would not call it scary it is entertaining.As with all low budget horror movies my expectations for this movie was rather low, I was however positively surprised by Ghost Rig. It is not a great film in any stretch of the word but it is rather ok. I think there was some sections of the film which where to drawn out, and at times the film could get a bit confusing, but all in all I think that Ghost Ship is pretty good.If you are looking for a bit different but still following the typical script survival horror then you might want to give this film a try, especially if you can find it used or cheap, Ghost Rig had some problems and it is obvious that it did not have the biggest budget in the world but it kept me entertained for the one and a half hours it lasted and I consider it a good buy.",1296950400,"02 6, 2011"
"This film failed to deliver the kung-fu experience that I was so desperately hoping to achieve from an early 80's film. The plot sucked, the fighting was slow and sloppy (no technique). Do not buy this!",1323907200,"12 15, 2011"
What a waste of time.  This movie is horrible and the only way you know its over is because the credits roll.  Plot - HA!  The writers should be blackballed and forbidden to ever put such slop on paper!!,1537142400,"09 17, 2018"
"Excellent series, enjoyed very much by all ages. Highly recommended",1452729600,"01 14, 2016"
"We thought we would like this movie as the commericals looked interesting.  For one thing there was way too much bad language and sexual situations with the bear.  We should have realized, because it was made by the same people as American Dan and I can't stand that show.  Guess I expected more in a movie and find it was even worse.  NOT recommended.",1358553600,"01 19, 2013"
Disappointing,1469232000,"07 23, 2016"
If you are a fan of Candid Camera you will enjoy.,1459296000,"03 30, 2016"
"Highlander is a great fantasy-action film although the sequels have been widely mocked (only Highlander: Director's Cut and Highlander 2 are included). This 2-disc release does not include Highlander 3, 4 (Endgame), 5 (The Source) or the TV show. I'm not sure what happened to this franchise because only the original is worth owning. All five films bombed at the box office (that must have set some kind of record) although The Source only got a limited run in some countries and aired on TV in the US. Highlander 2 had the highest budget and the highest domestic gross in the franchise although many fans consider it the worst (some feel The Source is worse).Overall, the picture quality is average at best (Highlander 2 is particularly poor) but the audio isn't bad. Some of the bonus features for both movies have been ported over from previous releases (Highlander gets a paltry 6 minutes and an audio commentary). There is a total of roughly 2 hours of supplements which is light for an anniversary collection. The original theatrical release of Highlander 2 isn't included. The original Highlander is a 5 star film but this is a 2 star package. It is fairly pricey at $65 for only two films since they can both be purchased separately for $26 total.Special Features:Highlander: * Deleted Scenes, * Audio Commentary with Director Russell MulcahyHighlander 2: * ""Highlander 2:: Seduced by Argentina"" Documentaries, * ""The Redemption of Highlander 2:"", * ""The Music of Highlander 2:"", * ""The Fabric of Highlander 2:"", * ""Shadow & Darkness: The Cinematography of Highlander 2:"", * Original Cannes Film Festival Promotional Reel, * Deleted Scenes, * Original Theatrical Trailer",1378857600,"09 11, 2013"
"As a fan of the Tom Baker era, particularly when paired with Lalla Ward as Romana i felt this was a ""must own"" because it includes the unfortunate departure of both Lalla Ward's Romana and K-9. The 3 stories in this series are all unique and entertaining in their own way, the third being the best in my opinion.",1463270400,"05 15, 2016"
husband really loves this show was very happy,1438387200,"08 1, 2015"
"It's hard to have sympathy for characters when you actually want them to die. And that's how I felt about the Green brothers Danny (Lou Taylor Pucci) and Brian (Chris Pine), especially Brian. When you're one of the few people left alive after a major plague then driving stupidly all over the road is not what I'd do for fun. Nor stopping off at a golf resort to hit a few rounds.Along with the Greens are their girlfriends Bobby (Piper Perabo) and Kate (Emily VanCamp)Some reviewers have talked of the 'rules' the Green brothers come up with. They're great rules, however they're undermined by the fact that they don't follow them. They pick up Frank Holloway (Christopher Meloni) and his very sick daughter Jodie (Kiernan Shipka). Rule #1 broken. Sure they seal off with plastic the back of their car, but later when Jodie starts a coughing fit Bobby, instead of going around to the back of the car to give the girl oxygen lunges through the plastic knocking off her face mask so that the little girl coughs blood straight into her mouth. Rules #2-#5 broken there - and a glimpse of the problem with the film. All the 'drama' is caused by forcing situations to arise.All of the drama is similarly convoluted.",1310256000,"07 10, 2011"
Great pair of movies from Peter Bogdanovich.,1512950400,"12 11, 2017"
It's pretty good.  Worth watching.  Books are much better.,1415577600,"11 10, 2014"
"Very disappointing. Our friends that had already watched it tried to warn us, but we were curious. I'm not sure what the audience target age was for this one... 5 or 10 year olds? Just glad that we rented it and didn't buy it.",1445990400,"10 28, 2015"
"This is a decent set,half I loved..and the other half I thought was so-so. Still a good buy-The Outing (1987): full screen, picture looks like a high quality VHS, no extrasIt's about a evil genie that gets unleashed and causes rampage. It start off slow but picks up and doesn't stop. My favorite of the set.-The Vagrant (1992): widescreen,has great picture, no extrasIt's about a man moving into a new home but there's a bum that starts to make his life a living hell.The movie is fun and there's never a dull moment..I enjoyed it a lot.-What's the Matter with Helen (1971): widescreen, has great picture, no extrasIt's about two women who sons go to prison for  murder, the women start to get death threats. So they move to California toget away from all that. But still this person keeps calling and one of the woman starts to see a man outside of their place.The movie is a slow burner with a small kill count, I found it not really my cup of tea.-The Godsend (1980): widescreen, has good picture, no extrasIt's about a family who comes across a lost pregnant women so they take her in. She then has the baby at their house thenjust vanishes. So they take care of the baby as their own..while it gets older it kills...it's a demon child.The movie again is a slow burner but it's okay..I wouldn't watch it again.",1382745600,"10 26, 2013"
"Mike Myers plays Guru Pitka, a spiritual leader who's tired of being ""the poor man's Deepak Chopra"". He's hired by the owner of the Toronto Maple Leafs because they think the only way they can win the cup is if their star player gets back with his wife and they hope Guru Pitka can get them back together.From Mike Myers, creator of Wayne's World and Austin Powers, I'd expect a solid comedy, but ""The Love Guru"" was obviously not written on one of his good days (Myers and cowriter Graham Gordy ""won"" a Razzie Award for worst screenplay). The story is weak but in comedies like this the characters and jokes are often more important than the story. Unfortnately, Guru Pitka is nowhere near as funny as Austin Powers for instance, and the jokes often fall flat, with some exceptions. Ben Kingsley's talents are wasted in an unfunny role as an older guru. 1+",1283731200,"09 6, 2010"
"Rockford...what else can be said? Bought this season because it has most of our favorite episodes. Arrived quickly, and great price.",1478131200,"11 3, 2016"
"NOT HIS BEST A BIT SLOW,JUST MY OPINION",1426118400,"03 12, 2015"
I love the classics. Can't beat them.,1476230400,"10 12, 2016"
"I have watched the Left Behind movies with Kirk Cameron, and this rendition is also very good.  I highly recommend the movie.",1420243200,"01 3, 2015"
It was just okay didn't really enjoy it wouldn't recommend it,1419206400,"12 22, 2014"
"I did not like this movie. I only watched 20 minutes, and turned it off.",1428105600,"04 4, 2015"
Love this dark comedy.  Well acted,1491696000,"04 9, 2017"
"I enjoy musicals and this is a good one.  Based on several fairy tales, they all go into the woods and their paths cross.  Highly recommended.  Do not miss Johnny Depp as the wolf.",1492473600,"04 18, 2017"
Deff one of Rocks best,1501804800,"08 4, 2017"
What is Bruce Willis doing in this movie.  He looks like he is in a body cast or has a body brace.  Stiff performance doesn't capture it.Not worth time or money,1459209600,"03 29, 2016"
Fat Rose and Squeaky are absolutely obnoxious and mean. It was not at all entertaining and I shut it off after about 15 minutes.,1370217600,"06 3, 2013"
"Saw this movie in  The 70's  Big fanThere is a sequel, all men are brothers",1503273600,"08 21, 2017"
love watching this series !,1410393600,"09 11, 2014"
Horrible. I was shocked that this had good reviews because it's just bad writing. Simply just one action seen after another.,1445558400,"10 23, 2015"
"This film is mesmerizing.  The creature designs are incredible - even down to the flora and fauna!  And the film's music score is gorgeous.However, I simply was not moved or affected by the film at all.  I don't  think the story is its strong point.  There are prophecies, saving the  world, and magic.  But it's almost as if the script is some textbook  example of what elements to incorporate in order to call a film a  ""fantasy"".  I never felt connected to the main characters, the  Gelflings. So I never care what happens to them at the end.And my final  complaint are the ""bad guys"" - the Skekses (or however you spell  it!).  I found them simply annoying.  They are the most Muppet-like and  least successful as creatures.I was very excited to see this film again  - it'd been a while since I'd experienced it.  It was a bit of a let down.  However, there is no denying that Henson & company tred new ground with  THE DARK CRYSTAL.  The work is simply amazing.  I just had a few qualms  with the story.The DVD, by the way, is an excellent presentation.  And  the bonus cut scenes are interesting.  There is also an isolated music  score.  Good job!",946252800,"12 27, 1999"
"Absolutely hot!! I find it thrilling and spicy. Not for young children for sure, this is an adult action drama. Love the characters.",1476921600,"10 20, 2016"
"There have been some decent airplane disaster movies-- TURBULENT SKIES is not one of them.Not only is the movie dull, its script is ludicrous, the direction by the infamous Fred Olen Ray is flaccid, and the acting community theatre level.  The few special effects are totally pedestrian.  I don't have anything to recommend this time-waster.",1315785600,"09 12, 2011"
"I love watching the DVDs that are in ""TCM Greatest Classic: Gangsters - Humphrey Bogart""!",1493251200,"04 27, 2017"
Sort of like the old days for me.  Here is a movie so cleverly written that the dialog can be enjoyed by both adults and children.  It's been a long time since that has been done.  Highly recommend.,1372291200,"06 27, 2013"
I loved this movie.,1420329600,"01 4, 2015"
"Love it, watched it many times.",1530921600,"07 7, 2018"
I just did the shoulder exercises and they were great!  I have right shoulder pain and these exercises really stretched out the knots and relieved the pains.  I will definitely add one of these workouts to my routines everyday.  Thanks for the no nonsense workouts!.,1173916800,"03 15, 2007"
"A bit contrived and often flat in the scenes between Hitch and Alma (what Hitch himself would have done with placid English domesticity curdled with perverse impulses!). But Tony Hopkins' Hitchcock is a nice piece of impersonation. And Scarlett Johansson's Janet Leigh is crisp, a sharp little miniature of tone and likeness. Some specific complaints: the first act seems rushed. Some histories have ""Psycho"" coming as a result of Hitchcock's shrewd reading of the emerging market for cheap, dark little exploitation/drive-in movies. ""Hitchcock"" instead casts the movie as a make-or-break moment for Hitchcock's commercial viabilitywhich it may have been, but those beats are thinly established. Instead the movie pursues a melodramatic subplot in which Hitchcock suspects Alma is cheating on him. He's tormented by his suspicions and his fears, which are voiced by Ed Gein himself as a kind of spectral conscience. A bizarre and distracting choice (maybe Bosley Crowther would have made more sense). Getting any movie made is enough of a tale of farce and treachery; why the creative team added this layer of misdirection is hard to figure. For my own taste, it would have been much more illuminating to have the film plumb Hitch's creative and commercial response to the ""Psycho""-like cheapies that were crowding out his own brand of filmmaking. The point is that ""Psycho"" was a turning point for Hitch; his sexual obsessions became starker and less playful after ""Psycho."" The film is more like a shrieky coda to ""Vertigo"" than this film lets on. This movie depicts him stumbling and unsure of himself during the filming of what is rightly considered a masterpiece. There's some dramatic value to that, but it  doesn't account for the masterly confidence of virtually every shot in ""Psycho."" If Hitch was an artist on the downslope of his powers, where did such a movie come from, given he was working with a rookie screenwriter and the production crew from his TV series? What I missed most in the movie was some of Hitchcock's own wit in teasing out the perversity of quiet middle-class people who dabble in murder firsthand or once-removed.",1463961600,"05 23, 2016"
The movie was very boring. Fair game didn't keep my attention. I thought the movie supposed to be slightly funny but i was wrong.,1295827200,"01 24, 2011"
"The only things which stops me from rating this 5 stars are (warning minor spoilers below):Once the story gets past these rough spots, the movie gets way more awesome...The introduction of Chow Yun Fat's Character: Ken and the old trope of ""never before mentioned twin brother"".1). The scene where Ken forces the protection racket mobster to eat the rice from his restaurant felt forced and unnatural and it really didn't fit well with the pacing and the rest of the movie. Chow Yun Fat did a great job with the crappy dialogue he was given for his character and he was the only one truly acting in that scene - but even if the other actors stepped up to their parts... it was still bad writing and pacing.2). Twin brother. - It would have been better if Chow Yun Fat played the same character from the first movie and to provide an explanation of how that character survived: (like maybe he had a metal plate in his skull and the bullet slid around the plate and exited through the skin at the front of his head and he was in a coma)... bringing back the icon to the sequel was a brilliant move because it brought back his fans, but it could have been handled a bit better.The rest of the movie was intense and overall it was highly enjoyable. I would give this 4.5 stars but half stars aren't supported.",1362614400,"03 7, 2013"
Very funny movie. Steve Carell is hilarious! Classic comedy for the ages that never gets dull or boring. I'll watch it again and again.,1389657600,"01 14, 2014"
Possibly THE worst movie I have ever suffered through. I was watching it with my family and we all agreed that it was atrocious. Skip this one. Trust me.,1482796800,"12 27, 2016"
