reviewText,unixReviewTime,reviewTime,rating,label
"After ten minutes of watching, we gave up because the gags were oh-so-expected and oh-so trite.  Streisand--with few exceptions--has always been a delight.  THIS is one of the exceptions.",1393372800,"02 26, 2014",2.0,-1
"Intricate story, too many moving parts to hold interest.",1425081600,"02 28, 2015",3.0,0
crappy movie,1414886400,"11 2, 2014",1.0,-1
"Should have had a warning about explicit homosexual content Extremely boring to start with, should have turned it off even before the unexpected ""big kiss"" scene.",1433721600,"06 8, 2015",1.0,-1
One of my favorite Christmas movies.,1425254400,"03 2, 2015",5.0,1
Absolutely TERRIBLE!!! This movie used to scare me and my friends when we were younger it is not scary at all the acting is horrible and there really isn't a plot either!!,1445644800,"10 24, 2015",1.0,-1
Didn't watch.  Too hard to keep up with the language.,1439683200,"08 16, 2015",2.0,-1
Light comedy with minimal plot.  You know how it is going to end from the first scene. Lead actors are very good and worth watching even though story is thin.,1454457600,"02 3, 2016",3.0,0
"It is funny, not just political, or about romance and the country is beautiful. It is funny and smart. I liked the actors, I had never seen the 2 main actors and they were very good",1383436800,"11 3, 2013",5.0,1
more than satisfactory.,1481846400,"12 16, 2016",5.0,1
I love all the Dr Who Christmas specials.  This one with Matt Smith is VERY GOOD.  The story line is great. The actors all perform really good together. Highly recommend.  You will enjoy watching it.,1388448000,"12 31, 2013",5.0,1
"Great movie, good actors, good story plot. Family movie.",1512345600,"12 4, 2017",5.0,1
Great old movie,1404777600,"07 8, 2014",5.0,1
"Saw it again for the 4th time just keeps getting better!  Lots of action! Will see Again, not many movies make that Grade! This one definitely has the it factor for me!",1375401600,"08 2, 2013",4.0,1
Only liked the Wonder Woman scenes.,1475712000,"10 6, 2016",1.0,-1
"This is great stuff from classic TV era. When only upper income (smart) folks had TVs, the content was adult level.  These half hour dramas feature fine actors and well crafted scripts.  Many of the characters are over 40, as these were the viewers (the ones who could afford sets) back in the '50's.",1232928000,"01 26, 2009",5.0,1
"DVD(DUH).  I wouldn't have bought it if I didn't like it.  Now as to the DVD itself.  I just watched it recently on TV (that's why I bought it) so I haven't even opened it.  By the time I do, they won't refund my money because it's been too long, so ""What does it matter"".  I will find out if the DVD is good when I open it.",1522108800,"03 27, 2018",3.0,0
it was such a dark movie that I thought I was staring at a turned off tv for most of it,1409875200,"09 5, 2014",2.0,-1
Cute movie for the whole family.  A little corny but I like corny.,1484006400,"01 10, 2017",3.0,0
Too slow for started we not in the grave.,1463961600,"05 23, 2016",2.0,-1
"It was ok, but not as funny as I though it would be. I watched it one time and haven't watched it since.",1392768000,"02 19, 2014",3.0,0
It was okay.,1443225600,"09 26, 2015",3.0,0
always on the edge of your seat. But lacks something to keep your brain working. Did not like the ending.,1397088000,"04 10, 2014",3.0,0
It was a TV show. What's to say?,1448582400,"11 27, 2015",3.0,0
"Just OK, and depressing.",1476144000,"10 11, 2016",3.0,0
"I never saw this movie until recently.  I purchased it for my best friend, as this was her favorite movie growing up and she had not seen it in years.  She was so excited to get it for Christmas and told me she has watched it many times already.",1383436800,"11 3, 2013",4.0,1
I bought the complete set. The first season was good but it went downhill quick.,1410912000,"09 17, 2014",3.0,0
it is ok.,1485129600,"01 23, 2017",3.0,0
52 and I watched this classic for the first time... now it will be an annual event,1515801600,"01 13, 2018",5.0,1
"Very good recreation of a nuclear blast and its consequences. But very poor video quality. Package says remastered but not very well. Too much static/grain and 4:3 aspect ratio, low quality video.",1520294400,"03 6, 2018",3.0,0
"Terrible plot! Terrible movie, don't waste your money or time!!!",1465257600,"06 7, 2016",1.0,-1
It was decent but seemed to drag and didn't live up to others.,1477612800,"10 28, 2016",3.0,0
Another bad plot along why goofy actors. Laurence won't get much of a good acting review in this flick. There were no other note worthy actors in this film. Dumb story lines and stupid finish.,1419811200,"12 29, 2014",1.0,-1
Couldn't decide if this was a comedy or a serious movie,1453680000,"01 25, 2016",2.0,-1
"It is just a remake like so many other horror movies, this is a low budget film. Its not worth 3.99 to rent, more like 1.99. Don't let the cover fool you.",1396742400,"04 6, 2014",3.0,0
This ranks with the worst movies I've ever seen.  I could only stand to watch it for about 10 minutes before having to turn it off - it is that repulsive.  The sad part is somebody spent a lot of cash making this turkey.  Do yourself a favor and spend your money on something else.,1012348800,"01 30, 2002",1.0,-1
"Wow... talk about bad acting. I realize I'm reviewing a zombie movie, but would it kill the producers to find a mediocre actor at least? The guy who played Brian was awful. The guy who played Daniel was okay, but most of the movie centered on Brian. Honestly, at times, I was really hoping Brian would get killed off.On top of all this, the first 20 minutes or so had almost no dialogue. Again, I realize it's a zombie movie, but some dialogue is better than none, especially when the first 20 minutes are flat-out boring.The only reasons I gave this 2 stars and not one is because the setting was different and the special effects for a low-budget film were pretty good. Still, I can't recommend this. It was really bad.",1339113600,"06 8, 2012",2.0,-1
Favorite movie,1420416000,"01 5, 2015",5.0,1
its ok,1427241600,"03 25, 2015",3.0,0
I thought I was going to love this movie.  I know it has crude humor I was prepared but not for this.  It was too over the top for me and I didn't enjoy it.  There were a couple of parts that you will laugh at regardless of liking it or not but it just fell flat it was the same jokes that they have used before and I enjoy many of these actors/actresses but it was a huge disappointment from beginning to end.  Would not would not even give it a start of you could rate something ZERO!!!  Sorry American Reunion I'm not normally this critical cause I love movies and will watch just about anything but this movie was not it.,1349654400,"10 8, 2012",1.0,-1
This movie is very thoughtful and insightful in the portrayal of Joseph of Egypt. I would highly recommend this movie to all.,1329782400,"02 21, 2012",5.0,1
Loved it! Good Story Line needed a few better actors. (My opinion) Great Story Line.,1406678400,"07 30, 2014",5.0,1
"The movie moved along in fits and starts...it was advertised as an intense thriller, but didn't at any time meet up to my expectations.  The ending was disappointing.",1473638400,"09 12, 2016",3.0,0
good entertainment,1404172800,"07 1, 2014",4.0,1
Confusing and boring at times.,1431388800,"05 12, 2015",3.0,0
"It wasn't the worst movie I have seen, but I am glad I didn't pay for it.I like movies like this, and it had potential; that is why I gave it 3 star's.If you have to pay for it save your money.",1453334400,"01 21, 2016",2.0,-1
"I will probably never buy another DVD from Leslie Sansone.  Every workout is the same - over and over again, except for different scenery or workout buddies.  There is absolutely no challenge to any of them, once you have mastered the basic moves.  Leslie means well and has done a great job in getting people to lose weight, but after working out with three or four of her DVD's, there's no point in buying any others.",1417305600,"11 30, 2014",1.0,-1
Worst Mad Max film ever!,1445558400,"10 23, 2015",1.0,-1
This movie did not live up to expectations. Too boring to stay awake.  It should be removed from prime instant video.,1392595200,"02 17, 2014",1.0,-1
Somewhat entertaining but predictable . A good one time watch .,1445472000,"10 22, 2015",3.0,0
Two truely great actors...what were they thinking when they read this script.  No dialog and not any acting... one of the worst movies I have ever seen.  Two thumbs down on this one!  Sorry.,1279843200,"07 23, 2010",1.0,-1
"A lot of low rating reviews are too picky. They pick out a single thing in the movie and say the whole movie is bad. I was surprised by a well rounded fantasy story mixed in with Chinese folk-tale. You simply can not compare it to the Chinese movies. Those tend to be darker with complex relationship and usually the fighting and killing are ruthless with body parts getting ripped apart. Maybe that is why reviewers are saying this is more family friendly. Overall, the story was well thought out. The kung fu fighting scenes were intense and top quality. All actors did very well in portraying their characters. I never watched it because I heard bad reviews from critics when the movie came out. Finally saw it. And I was thoroughly entertained. In terms of showing it to kids, there are still some spots of violence that are not for kids. I probably would limit this movie for kids at least 14 years old. One more thing. The bonus features are fantastic. I have the single disc version and it has quite a long list of bonus features. Make sure you watch all the bonus features!",1262044800,"12 29, 2009",5.0,1
My son likes this,1459209600,"03 29, 2016",1.0,-1
"So I chose a TWO star rating because I didn't like this movie so much that I could even finish watching it! That's also why my review ins't fair, because I didn't finish watching it. I though that because the PLAY had people I'd normally love to watch that it would eventually take a turn for the better but it never happened. The beginning was bland but I kept watching, when all the friend started coming it was boring but I kept watching. eventually when nothing but I boring conversation kept continuing I had to stop it. Maybe I'll give it a try again...",1381104000,"10 7, 2013",2.0,-1
I needed to be reminded of the men that actually have been responsible for the construction is the USA and how it has been done. It should also add the females but this one actually doesn't. Great to re-learn such very important factors of history.,1370822400,"06 10, 2013",4.0,1
"Just another lame, predictable, cliche romantic comedy, and it's not even that funny.  Actually, not funny at all.Just very boring, so boring due to the writing and actors.",1296172800,"01 28, 2011",1.0,-1
just okay.,1417910400,"12 7, 2014",2.0,-1
soap opera,1419292800,"12 23, 2014",3.0,0
Moved very slow.  Seemed very long.,1463270400,"05 15, 2016",3.0,0
Just a weird movie,1425081600,"02 28, 2015",2.0,-1
they didn't have all the seasons so I stopped buying them.,1419984000,"12 31, 2014",3.0,0
"Looks very dated, never stood the test if time.",1405382400,"07 15, 2014",1.0,-1
Really disappointed.  Thought Cameron would be funnier.,1426809600,"03 20, 2015",1.0,-1
Ugh!,1434412800,"06 16, 2015",1.0,-1
Fair,1419811200,"12 29, 2014",3.0,0
This movie has a decent story to tell and the filming locations are really cool; especially if you have been to some of them like I have.,1373328000,"07 9, 2013",4.0,1
Couldn't get through it. Watched about 20 minutes.,1412380800,"10 4, 2014",1.0,-1
"I love all things Jane Austen, but this is my least favorite story line, probably because of the slavery. So disturbing I let it kind of ruin the whole movie for me. But I think the actors all did a tremendous job!",1409616000,"09 2, 2014",4.0,1
It was pretty good. Keeps you involved.,1482019200,"12 18, 2016",3.0,0
Singing was amazing. It was just too long and a hair confusing. Not my favorite musical...,1430956800,"05 7, 2015",3.0,0
"Music was too loud.  Not sure if there was a message and if there was, I don't know what it was.  What were they trying to say?  Some nice ass shots.  Seemed amateurish, but actors did a good job.",1469923200,"07 31, 2016",4.0,1
I bought this on Blu-ray but since the movie is in black and white it doesn't make much of a difference from a regular dvd.,1355788800,"12 18, 2012",5.0,1
The disc was in perfect condition.  The plot was foolish and not enjoyable in spite of the stellar cast.  What a waste of talent.  It only goes to show no actor(s) regardless of their talent can save a stupid script.,1480464000,"11 30, 2016",2.0,-1
Great show with great stories and actors! Amazing writing!,1429488000,"04 20, 2015",5.0,1
"Back in the giddy Nineties I would have thought this was an artsy production but here at the end of the less impressionable Tens I found this to be an unpleasant movie, which means it succeeded in what it was supposed to be. Effectively conveying the miseries of a stressfully repetitive job, this film plodded through an hour and a half of mostly complaints and nagging and conveyed how awful working in a trendy little restaurant can be. While two of the staff at this unnamed Soho cafe slogged through in mature fashion, Neve Campbell's endlessly rude and self-pitying ""birthday gal"" character really wore me out fast. Never before on film have sweaty kitchen personnel and bored, job-loathing wait staff been portrayed like this, which doesn't always make for a nice viewing experience. If you need to, see I Really Hate My Job for the bizarre and oft-Googled nude scene, because frankly there isn't a lot else to give you a bang for your buck. If you do manage to sit through ninety minutes of would-be artists, actresses and writers wishing they were almost anyplace but where they are, well, you've earned the right to look at Julia Salinger's past-prime hangers.Four stars for good performances, two stars for plot, about negative five stars for enjoyability.",1261526400,"12 23, 2009",3.0,0
Again an oldie and not for kids,1462492800,"05 6, 2016",4.0,1
IT WAS OKAY,1461024000,"04 19, 2016",3.0,0
Kinda funny in spots definitely for a time when attention spans were longer it drags a little in spots and is pretty dated. Not appropriate for mixed company.,1458000000,"03 15, 2016",2.0,-1
Good movie Great actors. Very fast moving I enjoyed it.,1449187200,"12 4, 2015",4.0,1
"Waiting for the real fourth movie to be released, this was not it",1457568000,"03 10, 2016",2.0,-1
"Well both of these actors may have gotten older,as we all are,but they sure can still make a great movie!",1392422400,"02 15, 2014",5.0,1
"Maybe it's just that it's too old of a movie now, but I couldn't stand watching this. It was so slow and contrived and inaccurate. Stopped watching after about 15 minutes. Which is too bad, because I usually like Martin Sheen's movies and I almost always like Sam Neill's.",1433289600,"06 3, 2015",1.0,-1
"A complete waste of my time. Stupid and boring. Aliens fans will probably like it, but it's just too stupid to find any redeeming value in it. Good actors, at least there's that.",1495238400,"05 20, 2017",1.0,-1
Not one of Martin and Lewis' best but still fun. Print used to make video master was a little rough .,1443139200,"09 25, 2015",3.0,0
I hate it,1419724800,"12 28, 2014",1.0,-1
This was an entertaining film...and of course a chick flick.,1424390400,"02 20, 2015",3.0,0
This is an OK performance.  Not sorry I bought it but it was not as good as I had hoped. Would not recommend it.,1475366400,"10 2, 2016",3.0,0
"I will never tire of seeing this entertaining movie.  Will Smith is a great actor and I like his movies, and this is one of my favorites.",1458518400,"03 21, 2016",5.0,1
It was pretty good,1451347200,"12 29, 2015",4.0,1
fair movie,1465344000,"06 8, 2016",2.0,-1
awesome....enjoyed every minute of the movie.  the man character is such a good actor.  i enjoy all of his movies.,1363305600,"03 15, 2013",5.0,1
sucks,1412812800,"10 9, 2014",2.0,-1
Good movie. Kevin Kline is a great actor.,1469664000,"07 28, 2016",4.0,1
Excellent actors! Excellent movie in the series! Keeps your attention! Highly recommend!,1448064000,"11 21, 2015",5.0,1
I have always been a fan of war movies and this one is as good as it gets. No big name actors but all of these guys can act. Amazingly performed along with incredible cinematography and musical score.,1402876800,"06 16, 2014",5.0,1
"Did not like it at all, to unbelievable and boring, the worst I have seen",1468886400,"07 19, 2016",1.0,-1
A real stinker!,1462406400,"05 5, 2016",1.0,-1
A Hollywood version of exorcism but it was still entertaining.  Good acting and sold creep factor throughout.,1525219200,"05 2, 2018",4.0,1
"Not as good as the title might suggest, lead villain likes to monologue too much ( actor paid by the word ?) still good biting action, see it at own risk.",1455235200,"02 12, 2016",3.0,0
fantastic movie!,1449187200,"12 4, 2015",5.0,1
"Fair movie, very predictable. I don't think it was a very good venue for either actor.",1418169600,"12 10, 2014",3.0,0
"Great music by fantastic musicians, great acting by fantastic actors, just a great Seagal movie.  I've seen it many times.",1470787200,"08 10, 2016",5.0,1
"It was ok,.",1428192000,"04 5, 2015",3.0,0
"This has my favorite actors, good plot easy to get engrossed.",1468540800,"07 15, 2016",5.0,1
I don't like reading movies! I like watching them.No English at all.,1484265600,"01 13, 2017",1.0,-1
"The more I watch Timothy Dalton as Bond the more I think, what might have been. Clearly, he was the best of all the previous actors. He is the Bond of the Novels. Pity he didn't get better scripts.",1410998400,"09 18, 2014",5.0,1
Love him!,1420156800,"01 2, 2015",5.0,1
No review,1457308800,"03 7, 2016",3.0,0
Obnoxious.,1413158400,"10 13, 2014",2.0,-1
"Good movies, by 2 top of the line actors!",1404432000,"07 4, 2014",5.0,1
"Season Four - This is my favorite of all the Emergency seasons, actors worked so well together, had their characters down to a T...would rather watch reruns of this than all the garbage on TV now.  Highly recommended!!!",1382918400,"10 28, 2013",5.0,1
It was just O.K.,1425254400,"03 2, 2015",3.0,0
I love anything he plays in.  He is a fantastic actor.  I had already read the book and knew the movie would be good.,1382313600,"10 21, 2013",5.0,1
I love this movie! I am so glad I found this movie on DVD . Richard Gere is an excellent actor.,1363996800,"03 23, 2013",5.0,1
Poor end of ok,1475280000,"10 1, 2016",2.0,-1
It would have been better without the Soap Opera fantasy dealing with his so-called affair.,1453852800,"01 27, 2016",3.0,0
"Good quality, well acted but short on ideas and the second actor who is one of the creatures truly steals the show",1483574400,"01 5, 2017",4.0,1
Didn't even watch the whole movie. Very predictable. And I normally watch anything paranormal or sci fi no matter what.,1417305600,"11 30, 2014",2.0,-1
"Silly, miscast, and all over the place but it does have some spectacular action sequences.",1440115200,"08 21, 2015",3.0,0
Slow.,1435968000,"07 4, 2015",1.0,-1
English movie acting was not that good but the story was good.,1484784000,"01 19, 2017",3.0,0
Just like I remembered as a kid and now I bought this to show my oldest what the original movie was like before the new version that is coming out in the theaters.,1432080000,"05 20, 2015",5.0,1
I am not a fan of Ben Stiller so guessing I would not like this movie.,1421712000,"01 20, 2015",1.0,-1
hate  it,1500595200,"07 21, 2017",1.0,-1
Could not get interested in it to watch the whole movie.,1409270400,"08 29, 2014",1.0,-1
"This movie is very dull and boring. I stopped watching it, and as a fan of ""slap stick"" comedy... I have a large tolerance for stupidity. This however was terrible. I do not recommend this movie!",1432771200,"05 28, 2015",2.0,-1
"Interesting movie, an opportunity to see a lot of movie stars that are no longer with us. Enjoyed the movie in 1961, but the clarity was not that good in this picture.",1461024000,"04 19, 2016",3.0,0
We just couldn't get with the movie. The book was much better. Reese Witherspoon's  character was much more believable in the book.,1431216000,"05 10, 2015",3.0,0
waste of time,1439769600,"08 17, 2015",1.0,-1
"Cheesy, funny, and a ton of known actors!",1472083200,"08 25, 2016",4.0,1
BAD PLOT AND BAD ACTING,1456876800,"03 2, 2016",2.0,-1
"After all these years, I finally watched this movie. It left me laughing and I can see why it was such a great hit.",1396137600,"03 30, 2014",5.0,1
"Melissa McCarthy is a wonderfully entertaining comic actress, and we loved her in this film.  Jude Law's Bond-like character was played to perfection, too.  What turned us off was dialogue that used an overwhelming amount of expletives to fill up space when scriptwriters apparently couldn't think of anything more witty to say.  Obscenities aren't clever......they're just lazy, dumb and boring.  There's nothing new or refreshing about them unless you're 12 years old.  So I'm taking one star off for every 100 times one obscene word or another was used.  You get the picture.",1515715200,"01 12, 2018",2.0,-1
"Didn't even finish watching this I may watched about ten minutes of it maybe less, before I shut it off.",1470787200,"08 10, 2016",1.0,-1
"Funny if silly old Hal Roach film, nothing special, but some great old character actors.",1471824000,"08 22, 2016",3.0,0
"This movie follows the classical story, but is extremely dull, to say the least. I do not recommend it to anyone.",1366243200,"04 18, 2013",2.0,-1
happy to share my childhood favorite with my children. it is so cool to see it in hd too :),1395705600,"03 25, 2014",5.0,1
"Before A&E went down hill by only making reality television, they made excellent movies. This is no exception. Of all the versions of Pride and Prejudice I've seen, this has got to be the best. The fact that Colin Firth is in it is merely a bonus.",1386374400,"12 7, 2013",5.0,1
I loved this movie.  Benedict Cumberbatch is incredible. It is a bittersweet story and the actors who play his friends are wonderful actors. If you like Cumberbatch you have to watch this movie.,1435968000,"07 4, 2015",5.0,1
"Would have liked better if subtitled rather than dubbed, but great effects and very CREEPY!!",1471564800,"08 19, 2016",3.0,0
"The preview was good. The preview.....the movie is laughable. Some authentic gear, some good effects (nothing special about them) and some cartoonish effects. The crash landing is hysterical. Don't waste your time or money.",1452211200,"01 8, 2016",2.0,-1
Relive your younger days. Blend off humor and action geared to a younger audience. Entertaining for an older crowd if you have a couple of hours to give,1468454400,"07 14, 2016",3.0,0
kid movie.,1425081600,"02 28, 2015",3.0,0
it's okay.,1437609600,"07 23, 2015",3.0,0
Love it.,1445558400,"10 23, 2015",5.0,1
meh...see The Double instead,1411430400,"09 23, 2014",3.0,0
"I know that some people loved it, but I just kept thinking ""why am I still watching this?"" I finally gave up. Just not my kind if humor, I guess.",1503792000,"08 27, 2017",2.0,-1
"Good movie,good actors,a lot of action",1469577600,"07 27, 2016",5.0,1
Works well. Product arrived in perfect condition and on time. Thumbs up all the way.,1453248000,"01 20, 2016",5.0,1
Superb acting - Paul G. knocks it out of the park - and all the Italian actors are outstanding - really enjoyable version of the play put to screen - if you love this play - you will Love this movie.,1394323200,"03 9, 2014",5.0,1
"This film is a classic, and should have a complete frame by frame film restoration before a release on Blu-ray. The Shout Factory admits that this film is a DVD transfer with missing scenes. This is nothing but 'a money grab' by The Shout Factory.",1455408000,"02 14, 2016",2.0,-1
"In recent years there have been a lot of horror re-makes. I have liked some, but most should have been left alone in my opinion, the original being far superior. I waited for Wolfman with great anticipation to come out on DVD (I never go to the theater) and to sum up the film in two words; predictable and dull. Watching this movie is like watching paint dry on a wall. I was able to guess what the characters were about to say and what they were about to do. I only gave it two stars because of Anthony Hopkins which is about the only redeeming quality of the whole thing. I am very glad I only spent the $4.00 to rent this one and that I didn't buy it.",1276300800,"06 12, 2010",2.0,-1
Way too much foul language in the first five minutes! I turned it off.,1414540800,"10 29, 2014",1.0,-1
"love anything with Duvall, but ..... could have been better",1436140800,"07 6, 2015",2.0,-1
Several of the DVD's have picture and sound quality problems.  The pictures freeze and the sound quality goes for a minute or more.,1393804800,"03 3, 2014",3.0,0
I loved Nancy Drew novels when I was a kid.,1432944000,"05 30, 2015",3.0,0
B budget movie.  Willis must be hurting for money.,1435363200,"06 27, 2015",1.0,-1
"Grew up on this movie, now my kids can enjoy it as well.  Truly awesome movies, need to be made classics one day :)",1453852800,"01 27, 2016",5.0,1
"I bought this DVD set for myself because I absolutely love every movie that is in the set.  If you love romantic movies, this is the one for you.",1365206400,"04 6, 2013",5.0,1
My husband like it. I fell asleep.,1419811200,"12 29, 2014",3.0,0
"Very nice this new actor playing the doctor, and I love the girl in this show too, very nice.  A very nice dvd set.",1372377600,"06 28, 2013",5.0,1
"love this movie, came on time, great!",1438646400,"08 4, 2015",5.0,1
"very happy,,had no problems",1515456000,"01 9, 2018",5.0,1
"Cute show! I think they could've picked a better actor than Jeff Bridges for the role he had, but in the end, it works.",1436832000,"07 14, 2015",5.0,1
"Reminiscent of Twilight Zone this show combined horror, aliens, conspiracy theories, etc to new heights!  A classic to watch over and over again. Great character actors and tongue in cheek dialog. You gotta watch it!",1377561600,"08 27, 2013",5.0,1
Awesome movie,1509062400,"10 27, 2017",5.0,1
"My wife and I viewed this movie as a possible gift for our grandkids.  We liked the movie, but wondered why they allowed the little girl to call the inspector ""...a Dick, but I don't know what that means"".  Without that comment I would have rated it 5 Stars.",1336003200,"05 3, 2012",3.0,0
I watched it but halfway through I was bored.  I found the story funny though.  But the sense of humor was not for me.  Jennifer is so wonderful to look at.  I will pass on this.,1360195200,"02 7, 2013",3.0,0
Another Hallmark attempt that never really gets the purpose of a Hallmark movie. The actors were terrible the acting was terrible the whole movie was terrible pass on this one.,1484092800,"01 11, 2017",1.0,-1
I like both lead actors but they have zero chemistry on screen to make it believable they are a couple. Ok for family movie night.,1431043200,"05 8, 2015",3.0,0
My husband said it was just ok.,1468713600,"07 17, 2016",3.0,0
The best characters left or either died and the new story line and characters were not so good. The ending was awful for a series of that caliber and was very disappointing. The show certainly deserved better from the writers.,1394150400,"03 7, 2014",2.0,-1
"Good story line, not just about Tom Cruise. I liked it. It could have been any actor and still been good.",1395705600,"03 25, 2014",5.0,1
